OS Benchmark experiment
Test Name:,5.9.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000030,
       cpu          kbest:,0.005081580,
       cpu        average:,0.005097470,
    getpid          kbest:,0.000000129,
    getpid        average:,0.000000164,
      send          kbest:,0.000000440,
      send        average:,0.000000578,
      recv          kbest:,0.000000397,
      recv        average:,0.000000557,
  big send          kbest:,0.000006943,
  big send        average:,0.000007576,
  big recv          kbest:,0.000007459,
  big recv        average:,0.000008401,
      fork          kbest:,0.000039494,
      fork       average:,0.000043815,
      fork    Child kbest:,0.000065966,
      fork Child average:,0.000071939,
thr create          kbest:,0.000004135,
thr create       average:,0.000005173,
thr create    Child kbest:,0.000009709,
thr create Child average:,0.000011234,
  big fork          kbest:,0.001300990,
  big fork       average:,0.001400184,
  big fork    Child kbest:,0.001353944,
  big fork Child average:,0.001458512,
 huge fork          kbest:,0.002930006,
 huge fork       average:,0.003005050,
 huge fork    Child kbest:,0.003000480,
 huge fork Child average:,0.003067652,
small write          kbest:,0.000001045,
small write        average:,0.000001478,
small read          kbest:,0.000000541,
small read        average:,0.000000674,
small mmap          kbest:,0.000000571,
small mmap        average:,0.000000777,
small munmap          kbest:,0.000002288,
small munmap        average:,0.000002637,
small page fault          kbest:,0.000002291,
small page fault        average:,0.000002615,
 mid write          kbest:,0.000007003,
 mid write        average:,0.000009173,
  mid read          kbest:,0.000002868,
  mid read        average:,0.000003337,
  mid mmap          kbest:,0.000000585,
  mid mmap        average:,0.000000822,
mid munmap          kbest:,0.000005953,
mid munmap        average:,0.000007805,
mid page fault          kbest:,0.000002746,
mid page fault        average:,0.000003095,
 big write          kbest:,0.000881648,
 big write        average:,0.001017244,
  big read          kbest:,0.000421668,
  big read        average:,0.000467061,
  big mmap          kbest:,0.000000570,
  big mmap        average:,0.000000814,
big munmap          kbest:,0.000110960,
big munmap        average:,0.000125092,
big page fault          kbest:,0.000003042,
big page fault        average:,0.000003519,
 huge read          kbest:,0.021037100,
 huge read        average:,0.021385857,
 huge mmap          kbest:,0.000000563,
 huge mmap        average:,0.000000771,
huge page fault          kbest:,0.000003054,
huge page fault        average:,0.000003446,
    select          kbest:,0.000001059,
    select        average:,0.000001400,
      poll          kbest:,0.000001105,
      poll        average:,0.000001511,
     epoll          kbest:,0.000001281,
     epoll        average:,0.000001621,
select big          kbest:,0.000076512,
select big        average:,0.000107889,
  poll big          kbest:,0.000097714,
  poll big        average:,0.000128837,

