OS Benchmark experiment
Test Name:,5.19.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000040,
       cpu          kbest:,0.005076016,
       cpu        average:,0.005180027,
    getpid          kbest:,0.000000164,
    getpid        average:,0.000000208,
      send          kbest:,0.000000496,
      send        average:,0.000000811,
      recv          kbest:,0.000000473,
      recv        average:,0.000000636,
  big send          kbest:,0.000007061,
  big send        average:,0.000009096,
  big recv          kbest:,0.000007676,
  big recv        average:,0.000009388,
      fork          kbest:,0.000046264,
      fork       average:,0.000056407,
      fork    Child kbest:,0.000079947,
      fork Child average:,0.000096204,
thr create          kbest:,0.000005143,
thr create       average:,0.000006070,
thr create    Child kbest:,0.000011634,
thr create Child average:,0.000013185,
  big fork          kbest:,0.001340874,
  big fork       average:,0.001609240,
  big fork    Child kbest:,0.001405407,
  big fork Child average:,0.001685731,
 huge fork          kbest:,0.002848331,
 huge fork       average:,0.004029865,
 huge fork    Child kbest:,0.002920927,
 huge fork Child average:,0.004115970,
small write          kbest:,0.000000975,
small write        average:,0.000001755,
small read          kbest:,0.000000563,
small read        average:,0.000000740,
small mmap          kbest:,0.000000630,
small mmap        average:,0.000000923,
small munmap          kbest:,0.000002676,
small munmap        average:,0.000003614,
small page fault          kbest:,0.000002604,
small page fault        average:,0.000003196,
 mid write          kbest:,0.000005414,
 mid write        average:,0.000009348,
  mid read          kbest:,0.000002866,
  mid read        average:,0.000003673,
  mid mmap          kbest:,0.000000708,
  mid mmap        average:,0.000001096,
mid munmap          kbest:,0.000007315,
mid munmap        average:,0.000009972,
mid page fault          kbest:,0.000003230,
mid page fault        average:,0.000003880,
 big write          kbest:,0.000715187,
 big write        average:,0.001114178,
  big read          kbest:,0.000424338,
  big read        average:,0.001039952,
  big mmap          kbest:,0.000000694,
  big mmap        average:,0.000000946,
big munmap          kbest:,0.000191577,
big munmap        average:,0.000236111,
big page fault          kbest:,0.000004313,
big page fault        average:,0.000005170,
 huge read          kbest:,0.029852463,
 huge read        average:,0.032594710,
 huge mmap          kbest:,0.000000632,
 huge mmap        average:,0.000000938,
huge page fault          kbest:,0.000004086,
huge page fault        average:,0.000005044,
    select          kbest:,0.000000936,
    select        average:,0.000001506,
      poll          kbest:,0.000000799,
      poll        average:,0.000001253,
     epoll          kbest:,0.000001140,
     epoll        average:,0.000001541,
select big          kbest:,0.000069900,
select big        average:,0.000135976,
  poll big          kbest:,0.000075216,
  poll big        average:,0.000134631,

