OS Benchmark experiment
Test Name:,6.2.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000038,
       cpu          kbest:,0.005101262,
       cpu        average:,0.005112472,
    getpid          kbest:,0.000000164,
    getpid        average:,0.000000196,
      send          kbest:,0.000000518,
      send        average:,0.000000688,
      recv          kbest:,0.000000495,
      recv        average:,0.000000665,
  big send          kbest:,0.000007212,
  big send        average:,0.000008455,
  big recv          kbest:,0.000007606,
  big recv        average:,0.000008502,
      fork          kbest:,0.000052567,
      fork       average:,0.000060833,
      fork    Child kbest:,0.000081953,
      fork Child average:,0.000094932,
thr create          kbest:,0.000004875,
thr create       average:,0.000005788,
thr create    Child kbest:,0.000011336,
thr create Child average:,0.000013074,
  big fork          kbest:,0.003943242,
  big fork       average:,0.004059510,
  big fork    Child kbest:,0.004008255,
  big fork Child average:,0.004120755,
 huge fork          kbest:,0.008421281,
 huge fork       average:,0.008551035,
 huge fork    Child kbest:,0.008481849,
 huge fork Child average:,0.008614495,
small write          kbest:,0.000000983,
small write        average:,0.000001336,
small read          kbest:,0.000000561,
small read        average:,0.000000690,
small mmap          kbest:,0.000001461,
small mmap        average:,0.000001941,
small munmap          kbest:,0.000003730,
small munmap        average:,0.000004457,
small page fault          kbest:,0.000002749,
small page fault        average:,0.000003372,
 mid write          kbest:,0.000005499,
 mid write        average:,0.000007371,
  mid read          kbest:,0.000002892,
  mid read        average:,0.000003223,
  mid mmap          kbest:,0.000001583,
  mid mmap        average:,0.000002121,
mid munmap          kbest:,0.000009118,
mid munmap        average:,0.000010686,
mid page fault          kbest:,0.000003595,
mid page fault        average:,0.000004127,
 big write          kbest:,0.000680761,
 big write        average:,0.000801492,
  big read          kbest:,0.000439504,
  big read        average:,0.000483139,
  big mmap          kbest:,0.000001648,
  big mmap        average:,0.000002117,
big munmap          kbest:,0.000175978,
big munmap        average:,0.000195505,
big page fault          kbest:,0.000004313,
big page fault        average:,0.000004839,
 huge read          kbest:,0.030615363,
 huge read        average:,0.031063446,
 huge mmap          kbest:,0.000001650,
 huge mmap        average:,0.000002148,
huge page fault          kbest:,0.000004261,
huge page fault        average:,0.000004875,
    select          kbest:,0.000001031,
    select        average:,0.000001557,
      poll          kbest:,0.000000911,
      poll        average:,0.000001238,
     epoll          kbest:,0.000001143,
     epoll        average:,0.000001468,
select big          kbest:,0.000066086,
select big        average:,0.000093744,
  poll big          kbest:,0.000063810,
  poll big        average:,0.000076440,

