OS Benchmark experiment
Test Name:,5.10.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000030,
       cpu          kbest:,0.005080413,
       cpu        average:,0.005106328,
    getpid          kbest:,0.000000129,
    getpid        average:,0.000000165,
      send          kbest:,0.000000432,
      send        average:,0.000000576,
      recv          kbest:,0.000000404,
      recv        average:,0.000000563,
  big send          kbest:,0.000006907,
  big send        average:,0.000007560,
  big recv          kbest:,0.000007528,
  big recv        average:,0.000008705,
      fork          kbest:,0.000037090,
      fork       average:,0.000042439,
      fork    Child kbest:,0.000063046,
      fork Child average:,0.000071537,
thr create          kbest:,0.000004517,
thr create       average:,0.000005663,
thr create    Child kbest:,0.000010855,
thr create Child average:,0.000012644,
  big fork          kbest:,0.001295217,
  big fork       average:,0.001388891,
  big fork    Child kbest:,0.001349449,
  big fork Child average:,0.001449244,
 huge fork          kbest:,0.002901636,
 huge fork       average:,0.002986348,
 huge fork    Child kbest:,0.002965807,
 huge fork Child average:,0.003051751,
small write          kbest:,0.000001096,
small write        average:,0.000001574,
small read          kbest:,0.000000498,
small read        average:,0.000000665,
small mmap          kbest:,0.000000539,
small mmap        average:,0.000000758,
small munmap          kbest:,0.000002336,
small munmap        average:,0.000002894,
small page fault          kbest:,0.000002235,
small page fault        average:,0.000002528,
 mid write          kbest:,0.000007142,
 mid write        average:,0.000009763,
  mid read          kbest:,0.000003111,
  mid read        average:,0.000003461,
  mid mmap          kbest:,0.000000625,
  mid mmap        average:,0.000000846,
mid munmap          kbest:,0.000006129,
mid munmap        average:,0.000007628,
mid page fault          kbest:,0.000002735,
mid page fault        average:,0.000003075,
 big write          kbest:,0.000884331,
 big write        average:,0.001027423,
  big read          kbest:,0.000429051,
  big read        average:,0.000489326,
  big mmap          kbest:,0.000000604,
  big mmap        average:,0.000000821,
big munmap          kbest:,0.000120880,
big munmap        average:,0.000131076,
big page fault          kbest:,0.000003094,
big page fault        average:,0.000003840,
 huge read          kbest:,0.021216638,
 huge read        average:,0.021662207,
 huge mmap          kbest:,0.000000565,
 huge mmap        average:,0.000000782,
huge page fault          kbest:,0.000003081,
huge page fault        average:,0.000003526,
    select          kbest:,0.000001019,
    select        average:,0.000001355,
      poll          kbest:,0.000001124,
      poll        average:,0.000001470,
     epoll          kbest:,0.000001252,
     epoll        average:,0.000001700,
select big          kbest:,0.000069229,
select big        average:,0.000106287,
  poll big          kbest:,0.000086223,
  poll big        average:,0.000131991,

