OS Benchmark experiment
Test Name:,5.0.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000031,
       cpu          kbest:,0.005105776,
       cpu        average:,0.005144310,
    getpid          kbest:,0.000000126,
    getpid        average:,0.000000159,
      send          kbest:,0.000000423,
      send        average:,0.000000561,
      recv          kbest:,0.000000383,
      recv        average:,0.000000557,
  big send          kbest:,0.000006489,
  big send        average:,0.000007394,
  big recv          kbest:,0.000007753,
  big recv        average:,0.000008520,
      fork          kbest:,0.000039482,
      fork       average:,0.000044110,
      fork    Child kbest:,0.000065518,
      fork Child average:,0.000072456,
thr create          kbest:,0.000006623,
thr create       average:,0.000007770,
thr create    Child kbest:,0.000012291,
thr create Child average:,0.000014288,
  big fork          kbest:,0.000939846,
  big fork       average:,0.001032178,
  big fork    Child kbest:,0.001006319,
  big fork Child average:,0.001090034,
 huge fork          kbest:,0.002174126,
 huge fork       average:,0.002243436,
 huge fork    Child kbest:,0.002232402,
 huge fork Child average:,0.002305008,
small write          kbest:,0.000001053,
small write        average:,0.000001407,
small read          kbest:,0.000000516,
small read        average:,0.000000630,
small mmap          kbest:,0.000000603,
small mmap        average:,0.000000808,
small munmap          kbest:,0.000002008,
small munmap        average:,0.000002422,
small page fault          kbest:,0.000002220,
small page fault        average:,0.000002578,
 mid write          kbest:,0.000007513,
 mid write        average:,0.000009160,
  mid read          kbest:,0.000003097,
  mid read        average:,0.000003463,
  mid mmap          kbest:,0.000000592,
  mid mmap        average:,0.000000809,
mid munmap          kbest:,0.000005485,
mid munmap        average:,0.000006720,
mid page fault          kbest:,0.000002631,
mid page fault        average:,0.000003079,
 big write          kbest:,0.000916138,
 big write        average:,0.001060636,
  big read          kbest:,0.000475473,
  big read        average:,0.000527508,
  big mmap          kbest:,0.000000583,
  big mmap        average:,0.000000803,
big munmap          kbest:,0.000118183,
big munmap        average:,0.000129502,
big page fault          kbest:,0.000003038,
big page fault        average:,0.000003532,
 huge read          kbest:,0.021924644,
 huge read        average:,0.022422939,
 huge mmap          kbest:,0.000000564,
 huge mmap        average:,0.000000798,
huge page fault          kbest:,0.000003514,
huge page fault        average:,0.000003947,
    select          kbest:,0.000001088,
    select        average:,0.000001418,
      poll          kbest:,0.000001128,
      poll        average:,0.000001456,
     epoll          kbest:,0.000001275,
     epoll        average:,0.000001660,
select big          kbest:,0.000061550,
select big        average:,0.000081128,
  poll big          kbest:,0.000080072,
  poll big        average:,0.000106173,

