OS Benchmark experiment
Test Name:,6.3.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000038,
       cpu          kbest:,0.005062734,
       cpu        average:,0.005074655,
    getpid          kbest:,0.000000142,
    getpid        average:,0.000000175,
      send          kbest:,0.000000471,
      send        average:,0.000000602,
      recv          kbest:,0.000000441,
      recv        average:,0.000000621,
  big send          kbest:,0.000007302,
  big send        average:,0.000008088,
  big recv          kbest:,0.000007592,
  big recv        average:,0.000008236,
      fork          kbest:,0.000049778,
      fork       average:,0.000053542,
      fork    Child kbest:,0.000080752,
      fork Child average:,0.000086655,
thr create          kbest:,0.000004626,
thr create       average:,0.000005345,
thr create    Child kbest:,0.000011160,
thr create Child average:,0.000012525,
  big fork          kbest:,0.003351027,
  big fork       average:,0.003429060,
  big fork    Child kbest:,0.003410563,
  big fork Child average:,0.003491538,
 huge fork          kbest:,0.007396300,
 huge fork       average:,0.007512483,
 huge fork    Child kbest:,0.007457639,
 huge fork Child average:,0.007576249,
small write          kbest:,0.000000878,
small write        average:,0.000001227,
small read          kbest:,0.000000521,
small read        average:,0.000000665,
small mmap          kbest:,0.000001272,
small mmap        average:,0.000001776,
small munmap          kbest:,0.000002744,
small munmap        average:,0.000003234,
small page fault          kbest:,0.000002559,
small page fault        average:,0.000003253,
 mid write          kbest:,0.000004977,
 mid write        average:,0.000007220,
  mid read          kbest:,0.000002875,
  mid read        average:,0.000003186,
  mid mmap          kbest:,0.000001527,
  mid mmap        average:,0.000002317,
mid munmap          kbest:,0.000004009,
mid munmap        average:,0.000005427,
mid page fault          kbest:,0.000003286,
mid page fault        average:,0.000003902,
 big write          kbest:,0.000625739,
 big write        average:,0.000753635,
  big read          kbest:,0.000406153,
  big read        average:,0.000448860,
  big mmap          kbest:,0.000001528,
  big mmap        average:,0.000002302,
big munmap          kbest:,0.000127105,
big munmap        average:,0.000144364,
big page fault          kbest:,0.000003938,
big page fault        average:,0.000004430,
 huge read          kbest:,0.021919108,
 huge read        average:,0.022326381,
 huge mmap          kbest:,0.000001413,
 huge mmap        average:,0.000002194,
huge page fault          kbest:,0.000003860,
huge page fault        average:,0.000004428,
    select          kbest:,0.000001161,
    select        average:,0.000001516,
      poll          kbest:,0.000000831,
      poll        average:,0.000001112,
     epoll          kbest:,0.000001047,
     epoll        average:,0.000001440,
select big          kbest:,0.000064133,
select big        average:,0.000078088,
  poll big          kbest:,0.000060921,
  poll big        average:,0.000075675,

