OS Benchmark experiment
Test Name:,6.12.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000040,
       cpu          kbest:,0.005062461,
       cpu        average:,0.005077977,
    getpid          kbest:,0.000000228,
    getpid        average:,0.000000255,
      send          kbest:,0.000000529,
      send        average:,0.000000649,
      recv          kbest:,0.000000516,
      recv        average:,0.000000717,
  big send          kbest:,0.000007381,
  big send        average:,0.000008213,
  big recv          kbest:,0.000007459,
  big recv        average:,0.000008377,
      fork          kbest:,0.000053867,
      fork       average:,0.000068282,
      fork    Child kbest:,0.000082546,
      fork Child average:,0.000092185,
thr create          kbest:,0.000005704,
thr create       average:,0.000006993,
thr create    Child kbest:,0.000007870,
thr create Child average:,0.000013588,
  big fork          kbest:,0.001618023,
  big fork       average:,0.001781634,
  big fork    Child kbest:,0.001641844,
  big fork Child average:,0.001790824,
 huge fork          kbest:,0.003734646,
 huge fork       average:,0.003943523,
 huge fork    Child kbest:,0.003788321,
 huge fork Child average:,0.003874137,
small write          kbest:,0.000000906,
small write        average:,0.000001113,
small read          kbest:,0.000000636,
small read        average:,0.000000721,
small mmap          kbest:,0.000001183,
small mmap        average:,0.000001357,
small munmap          kbest:,0.000003019,
small munmap        average:,0.000003439,
small page fault          kbest:,0.000002902,
small page fault        average:,0.000003502,
 mid write          kbest:,0.000004918,
 mid write        average:,0.000006278,
  mid read          kbest:,0.000003080,
  mid read        average:,0.000003277,
  mid mmap          kbest:,0.000001582,
  mid mmap        average:,0.000001882,
mid munmap          kbest:,0.000007144,
mid munmap        average:,0.000009201,
mid page fault          kbest:,0.000003439,
mid page fault        average:,0.000003901,
 big write          kbest:,0.000631368,
 big write        average:,0.000755716,
  big read          kbest:,0.000415811,
  big read        average:,0.000446164,
  big mmap          kbest:,0.000001506,
  big mmap        average:,0.000001749,
big munmap          kbest:,0.000105407,
big munmap        average:,0.000117278,
big page fault          kbest:,0.000003823,
big page fault        average:,0.000004332,
 huge read          kbest:,0.022907956,
 huge read        average:,0.025789085,
 huge mmap          kbest:,0.000001512,
 huge mmap        average:,0.000001750,
huge page fault          kbest:,0.000003781,
huge page fault        average:,0.000004295,
    select          kbest:,0.000001006,
    select        average:,0.000001346,
      poll          kbest:,0.000000807,
      poll        average:,0.000001089,
     epoll          kbest:,0.000001252,
     epoll        average:,0.000001504,
select big          kbest:,0.000071810,
select big        average:,0.000091291,
  poll big          kbest:,0.000072505,
  poll big        average:,0.000091747,

