OS Benchmark experiment
Test Name:,6.16.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000042,
       cpu          kbest:,0.005069464,
       cpu        average:,0.005184718,
    getpid          kbest:,0.000000219,
    getpid        average:,0.000000280,
      send          kbest:,0.000000527,
      send        average:,0.000000655,
      recv          kbest:,0.000000522,
      recv        average:,0.000000736,
  big send          kbest:,0.000007415,
  big send        average:,0.000009477,
  big recv          kbest:,0.000007500,
  big recv        average:,0.000009212,
      fork          kbest:,0.000056164,
      fork       average:,0.000081461,
      fork    Child kbest:,0.000088040,
      fork Child average:,0.000103788,
thr create          kbest:,0.000006241,
thr create       average:,0.000008294,
thr create    Child kbest:,0.000008563,
thr create Child average:,0.000015712,
  big fork          kbest:,0.001422740,
  big fork       average:,0.001953099,
  big fork    Child kbest:,0.001474462,
  big fork Child average:,0.001935063,
 huge fork          kbest:,0.003061589,
 huge fork       average:,0.004542499,
 huge fork    Child kbest:,0.003109072,
 huge fork Child average:,0.004158221,
small write          kbest:,0.000000928,
small write        average:,0.000001458,
small read          kbest:,0.000000659,
small read        average:,0.000000785,
small mmap          kbest:,0.000001323,
small mmap        average:,0.000001506,
small munmap          kbest:,0.000002774,
small munmap        average:,0.000003630,
small page fault          kbest:,0.000002775,
small page fault        average:,0.000003459,
 mid write          kbest:,0.000004873,
 mid write        average:,0.000007929,
  mid read          kbest:,0.000003060,
  mid read        average:,0.000003533,
  mid mmap          kbest:,0.000001680,
  mid mmap        average:,0.000002050,
mid munmap          kbest:,0.000007146,
mid munmap        average:,0.000010241,
mid page fault          kbest:,0.000003319,
mid page fault        average:,0.000004121,
 big write          kbest:,0.000620492,
 big write        average:,0.000981079,
  big read          kbest:,0.000438069,
  big read        average:,0.000870712,
  big mmap          kbest:,0.000001632,
  big mmap        average:,0.000002242,
big munmap          kbest:,0.000119803,
big munmap        average:,0.000156657,
big page fault          kbest:,0.000003874,
big page fault        average:,0.000004611,
 huge read          kbest:,0.023039446,
 huge read        average:,0.027759902,
 huge mmap          kbest:,0.000001621,
 huge mmap        average:,0.000002392,
huge page fault          kbest:,0.000003878,
huge page fault        average:,0.000004785,
    select          kbest:,0.000000976,
    select        average:,0.000001376,
      poll          kbest:,0.000000803,
      poll        average:,0.000001156,
     epoll          kbest:,0.000001248,
     epoll        average:,0.000001615,
select big          kbest:,0.000076134,
select big        average:,0.000178041,
  poll big          kbest:,0.000071628,
  poll big        average:,0.000173074,

