OS Benchmark experiment
Test Name:,6.8.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000041,
       cpu          kbest:,0.005060163,
       cpu        average:,0.005073823,
    getpid          kbest:,0.000000149,
    getpid        average:,0.000000185,
      send          kbest:,0.000000463,
      send        average:,0.000000596,
      recv          kbest:,0.000000447,
      recv        average:,0.000000621,
  big send          kbest:,0.000006866,
  big send        average:,0.000008503,
  big recv          kbest:,0.000007291,
  big recv        average:,0.000009317,
      fork          kbest:,0.000046542,
      fork       average:,0.000056392,
      fork    Child kbest:,0.000078012,
      fork Child average:,0.000091363,
thr create          kbest:,0.000005697,
thr create       average:,0.000007612,
thr create    Child kbest:,0.000008087,
thr create Child average:,0.000010477,
  big fork          kbest:,0.001738652,
  big fork       average:,0.001836899,
  big fork    Child kbest:,0.001796869,
  big fork Child average:,0.001871102,
 huge fork          kbest:,0.003916886,
 huge fork       average:,0.004303896,
 huge fork    Child kbest:,0.003986909,
 huge fork Child average:,0.004349483,
small write          kbest:,0.000000790,
small write        average:,0.000001124,
small read          kbest:,0.000000546,
small read        average:,0.000000627,
small mmap          kbest:,0.000001086,
small mmap        average:,0.000001368,
small munmap          kbest:,0.000002979,
small munmap        average:,0.000003409,
small page fault          kbest:,0.000002612,
small page fault        average:,0.000003219,
 mid write          kbest:,0.000004819,
 mid write        average:,0.000006376,
  mid read          kbest:,0.000002714,
  mid read        average:,0.000003123,
  mid mmap          kbest:,0.000001415,
  mid mmap        average:,0.000001884,
mid munmap          kbest:,0.000007069,
mid munmap        average:,0.000009927,
mid page fault          kbest:,0.000003435,
mid page fault        average:,0.000004007,
 big write          kbest:,0.000649091,
 big write        average:,0.001036220,
  big read          kbest:,0.000413115,
  big read        average:,0.000689219,
  big mmap          kbest:,0.000001402,
  big mmap        average:,0.000001812,
big munmap          kbest:,0.000106443,
big munmap        average:,0.000115433,
big page fault          kbest:,0.000003909,
big page fault        average:,0.000004341,
 huge read          kbest:,0.022891009,
 huge read        average:,0.023611799,
 huge mmap          kbest:,0.000001312,
 huge mmap        average:,0.000001677,
huge page fault          kbest:,0.000003893,
huge page fault        average:,0.000004343,
    select          kbest:,0.000000986,
    select        average:,0.000001255,
      poll          kbest:,0.000000750,
      poll        average:,0.000000957,
     epoll          kbest:,0.000001061,
     epoll        average:,0.000001333,
select big          kbest:,0.000068492,
select big        average:,0.000099872,
  poll big          kbest:,0.000065771,
  poll big        average:,0.000097431,

