OS Benchmark experiment
Test Name:,5.1.0,
       ref          kbest:,0.000000026,
       ref        average:,0.000000031,
       cpu          kbest:,0.005132358,
       cpu        average:,0.005146581,
    getpid          kbest:,0.000000121,
    getpid        average:,0.000000157,
      send          kbest:,0.000000420,
      send        average:,0.000000576,
      recv          kbest:,0.000000376,
      recv        average:,0.000000557,
  big send          kbest:,0.000006883,
  big send        average:,0.000007542,
  big recv          kbest:,0.000007833,
  big recv        average:,0.000008566,
      fork          kbest:,0.000038317,
      fork       average:,0.000041665,
      fork    Child kbest:,0.000062068,
      fork Child average:,0.000068679,
thr create          kbest:,0.000006717,
thr create       average:,0.000007677,
thr create    Child kbest:,0.000012568,
thr create Child average:,0.000014115,
  big fork          kbest:,0.001061432,
  big fork       average:,0.001101839,
  big fork    Child kbest:,0.001114401,
  big fork Child average:,0.001157906,
 huge fork          kbest:,0.002361177,
 huge fork       average:,0.002473939,
 huge fork    Child kbest:,0.002419213,
 huge fork Child average:,0.002534206,
small write          kbest:,0.000001067,
small write        average:,0.000001426,
small read          kbest:,0.000000522,
small read        average:,0.000000657,
small mmap          kbest:,0.000000557,
small mmap        average:,0.000000765,
small munmap          kbest:,0.000002084,
small munmap        average:,0.000002406,
small page fault          kbest:,0.000002158,
small page fault        average:,0.000002522,
 mid write          kbest:,0.000006896,
 mid write        average:,0.000009244,
  mid read          kbest:,0.000003106,
  mid read        average:,0.000003477,
  mid mmap          kbest:,0.000000560,
  mid mmap        average:,0.000000774,
mid munmap          kbest:,0.000005740,
mid munmap        average:,0.000006699,
mid page fault          kbest:,0.000002559,
mid page fault        average:,0.000002936,
 big write          kbest:,0.000907832,
 big write        average:,0.001045736,
  big read          kbest:,0.000477600,
  big read        average:,0.000518502,
  big mmap          kbest:,0.000000545,
  big mmap        average:,0.000000747,
big munmap          kbest:,0.000117269,
big munmap        average:,0.000126234,
big page fault          kbest:,0.000002950,
big page fault        average:,0.000003424,
 huge read          kbest:,0.021862110,
 huge read        average:,0.022422127,
 huge mmap          kbest:,0.000000517,
 huge mmap        average:,0.000000741,
huge page fault          kbest:,0.000002905,
huge page fault        average:,0.000003374,
    select          kbest:,0.000001070,
    select        average:,0.000001430,
      poll          kbest:,0.000001073,
      poll        average:,0.000001443,
     epoll          kbest:,0.000001312,
     epoll        average:,0.000001649,
select big          kbest:,0.000061768,
select big        average:,0.000089520,
  poll big          kbest:,0.000082995,
  poll big        average:,0.000100836,

