OS Benchmark experiment
Test Name:,5.5.0,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.005079625,
       cpu        average:,0.005090783,
    getpid          kbest:,0.000000130,
    getpid        average:,0.000000165,
      send          kbest:,0.000000431,
      send        average:,0.000000570,
      recv          kbest:,0.000000394,
      recv        average:,0.000000563,
  big send          kbest:,0.000006964,
  big send        average:,0.000007673,
  big recv          kbest:,0.000007570,
  big recv        average:,0.000008617,
      fork          kbest:,0.000038861,
      fork       average:,0.000042880,
      fork    Child kbest:,0.000062659,
      fork Child average:,0.000068416,
thr create          kbest:,0.000007211,
thr create       average:,0.000008091,
thr create    Child kbest:,0.000013209,
thr create Child average:,0.000014786,
  big fork          kbest:,0.000966683,
  big fork       average:,0.001009423,
  big fork    Child kbest:,0.001036461,
  big fork Child average:,0.001066945,
 huge fork          kbest:,0.002093661,
 huge fork       average:,0.002131509,
 huge fork    Child kbest:,0.002152077,
 huge fork Child average:,0.002192124,
small write          kbest:,0.000001108,
small write        average:,0.000001469,
small read          kbest:,0.000000546,
small read        average:,0.000000680,
small mmap          kbest:,0.000000609,
small mmap        average:,0.000000825,
small munmap          kbest:,0.000002325,
small munmap        average:,0.000002760,
small page fault          kbest:,0.000002181,
small page fault        average:,0.000002495,
 mid write          kbest:,0.000007181,
 mid write        average:,0.000009139,
  mid read          kbest:,0.000003067,
  mid read        average:,0.000003402,
  mid mmap          kbest:,0.000000604,
  mid mmap        average:,0.000000833,
mid munmap          kbest:,0.000005774,
mid munmap        average:,0.000007160,
mid page fault          kbest:,0.000002649,
mid page fault        average:,0.000003089,
 big write          kbest:,0.000897211,
 big write        average:,0.001036209,
  big read          kbest:,0.000437596,
  big read        average:,0.000482171,
  big mmap          kbest:,0.000000591,
  big mmap        average:,0.000000790,
big munmap          kbest:,0.000123100,
big munmap        average:,0.000139730,
big page fault          kbest:,0.000003041,
big page fault        average:,0.000003491,
 huge read          kbest:,0.021863819,
 huge read        average:,0.022326252,
 huge mmap          kbest:,0.000000586,
 huge mmap        average:,0.000000820,
huge page fault          kbest:,0.000003069,
huge page fault        average:,0.000003533,
    select          kbest:,0.000000981,
    select        average:,0.000001360,
      poll          kbest:,0.000001094,
      poll        average:,0.000001421,
     epoll          kbest:,0.000001284,
     epoll        average:,0.000001653,
select big          kbest:,0.000077962,
select big        average:,0.000123927,
  poll big          kbest:,0.000097883,
  poll big        average:,0.000132012,

