OS Benchmark experiment
Test Name:,5.7.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000031,
       cpu          kbest:,0.005083434,
       cpu        average:,0.005095899,
    getpid          kbest:,0.000000125,
    getpid        average:,0.000000160,
      send          kbest:,0.000000435,
      send        average:,0.000000578,
      recv          kbest:,0.000000383,
      recv        average:,0.000000547,
  big send          kbest:,0.000006579,
  big send        average:,0.000007653,
  big recv          kbest:,0.000007468,
  big recv        average:,0.000008672,
      fork          kbest:,0.000033775,
      fork       average:,0.000040115,
      fork    Child kbest:,0.000056834,
      fork Child average:,0.000066285,
thr create          kbest:,0.000003969,
thr create       average:,0.000005292,
thr create    Child kbest:,0.000009838,
thr create Child average:,0.000012076,
  big fork          kbest:,0.000914136,
  big fork       average:,0.001023711,
  big fork    Child kbest:,0.000981778,
  big fork Child average:,0.001083518,
 huge fork          kbest:,0.002181312,
 huge fork       average:,0.002250955,
 huge fork    Child kbest:,0.002241619,
 huge fork Child average:,0.002313298,
small write          kbest:,0.000001042,
small write        average:,0.000001442,
small read          kbest:,0.000000540,
small read        average:,0.000000655,
small mmap          kbest:,0.000000577,
small mmap        average:,0.000000783,
small munmap          kbest:,0.000002124,
small munmap        average:,0.000002577,
small page fault          kbest:,0.000002364,
small page fault        average:,0.000002770,
 mid write          kbest:,0.000007061,
 mid write        average:,0.000009096,
  mid read          kbest:,0.000003066,
  mid read        average:,0.000003380,
  mid mmap          kbest:,0.000000610,
  mid mmap        average:,0.000000801,
mid munmap          kbest:,0.000005558,
mid munmap        average:,0.000007170,
mid page fault          kbest:,0.000002832,
mid page fault        average:,0.000003126,
 big write          kbest:,0.000888162,
 big write        average:,0.001023211,
  big read          kbest:,0.000438794,
  big read        average:,0.000480097,
  big mmap          kbest:,0.000000559,
  big mmap        average:,0.000000773,
big munmap          kbest:,0.000115724,
big munmap        average:,0.000132773,
big page fault          kbest:,0.000003173,
big page fault        average:,0.000003527,
 huge read          kbest:,0.022263450,
 huge read        average:,0.022742432,
 huge mmap          kbest:,0.000000588,
 huge mmap        average:,0.000000785,
huge page fault          kbest:,0.000003148,
huge page fault        average:,0.000003599,
    select          kbest:,0.000001068,
    select        average:,0.000001463,
      poll          kbest:,0.000001090,
      poll        average:,0.000001405,
     epoll          kbest:,0.000001263,
     epoll        average:,0.000001617,
select big          kbest:,0.000073502,
select big        average:,0.000101262,
  poll big          kbest:,0.000091702,
  poll big        average:,0.000117297,

