OS Benchmark experiment
Test Name:,5.14.0,
       ref          kbest:,0.000000026,
       ref        average:,0.000000030,
       cpu          kbest:,0.005080831,
       cpu        average:,0.005096617,
    getpid          kbest:,0.000000131,
    getpid        average:,0.000000166,
      send          kbest:,0.000000450,
      send        average:,0.000000578,
      recv          kbest:,0.000000392,
      recv        average:,0.000000533,
  big send          kbest:,0.000006450,
  big send        average:,0.000007307,
  big recv          kbest:,0.000006852,
  big recv        average:,0.000007994,
      fork          kbest:,0.000041095,
      fork       average:,0.000045110,
      fork    Child kbest:,0.000069311,
      fork Child average:,0.000075243,
thr create          kbest:,0.000004091,
thr create       average:,0.000005232,
thr create    Child kbest:,0.000009347,
thr create Child average:,0.000011122,
  big fork          kbest:,0.001346483,
  big fork       average:,0.001383256,
  big fork    Child kbest:,0.001401632,
  big fork Child average:,0.001441506,
 huge fork          kbest:,0.002833208,
 huge fork       average:,0.002887835,
 huge fork    Child kbest:,0.002896152,
 huge fork Child average:,0.002949175,
small write          kbest:,0.000001140,
small write        average:,0.000001499,
small read          kbest:,0.000000591,
small read        average:,0.000000728,
small mmap          kbest:,0.000000594,
small mmap        average:,0.000000819,
small munmap          kbest:,0.000002322,
small munmap        average:,0.000002666,
small page fault          kbest:,0.000002366,
small page fault        average:,0.000002691,
 mid write          kbest:,0.000006945,
 mid write        average:,0.000009054,
  mid read          kbest:,0.000002924,
  mid read        average:,0.000003251,
  mid mmap          kbest:,0.000000598,
  mid mmap        average:,0.000000805,
mid munmap          kbest:,0.000005797,
mid munmap        average:,0.000007156,
mid page fault          kbest:,0.000002829,
mid page fault        average:,0.000003299,
 big write          kbest:,0.000854516,
 big write        average:,0.001002278,
  big read          kbest:,0.000429030,
  big read        average:,0.000474111,
  big mmap          kbest:,0.000000576,
  big mmap        average:,0.000000800,
big munmap          kbest:,0.000114335,
big munmap        average:,0.000128597,
big page fault          kbest:,0.000003247,
big page fault        average:,0.000003657,
 huge read          kbest:,0.020723075,
 huge read        average:,0.020909817,
 huge mmap          kbest:,0.000000584,
 huge mmap        average:,0.000000811,
huge page fault          kbest:,0.000003266,
huge page fault        average:,0.000003602,
    select          kbest:,0.000000967,
    select        average:,0.000001263,
      poll          kbest:,0.000000767,
      poll        average:,0.000001188,
     epoll          kbest:,0.000001089,
     epoll        average:,0.000001445,
select big          kbest:,0.000073635,
select big        average:,0.000085708,
  poll big          kbest:,0.000072140,
  poll big        average:,0.000091271,

