OS Benchmark experiment
Test Name:,6.11.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000040,
       cpu          kbest:,0.005061372,
       cpu        average:,0.005112324,
    getpid          kbest:,0.000000229,
    getpid        average:,0.000000256,
      send          kbest:,0.000000536,
      send        average:,0.000000668,
      recv          kbest:,0.000000533,
      recv        average:,0.000000730,
  big send          kbest:,0.000006911,
  big send        average:,0.000008076,
  big recv          kbest:,0.000007201,
  big recv        average:,0.000008232,
      fork          kbest:,0.000050949,
      fork       average:,0.000055553,
      fork    Child kbest:,0.000080843,
      fork Child average:,0.000086680,
thr create          kbest:,0.000005908,
thr create       average:,0.000007270,
thr create    Child kbest:,0.000008283,
thr create Child average:,0.000009962,
  big fork          kbest:,0.001687083,
  big fork       average:,0.001803975,
  big fork    Child kbest:,0.001743082,
  big fork Child average:,0.001834933,
 huge fork          kbest:,0.003926722,
 huge fork       average:,0.004036906,
 huge fork    Child kbest:,0.003989904,
 huge fork Child average:,0.004069329,
small write          kbest:,0.000000931,
small write        average:,0.000001190,
small read          kbest:,0.000000659,
small read        average:,0.000000773,
small mmap          kbest:,0.000001201,
small mmap        average:,0.000001431,
small munmap          kbest:,0.000002763,
small munmap        average:,0.000003336,
small page fault          kbest:,0.000002698,
small page fault        average:,0.000003235,
 mid write          kbest:,0.000004913,
 mid write        average:,0.000006393,
  mid read          kbest:,0.000003046,
  mid read        average:,0.000003251,
  mid mmap          kbest:,0.000001578,
  mid mmap        average:,0.000001928,
mid munmap          kbest:,0.000007088,
mid munmap        average:,0.000008622,
mid page fault          kbest:,0.000003340,
mid page fault        average:,0.000003791,
 big write          kbest:,0.000625781,
 big write        average:,0.000756591,
  big read          kbest:,0.000400934,
  big read        average:,0.000451003,
  big mmap          kbest:,0.000001515,
  big mmap        average:,0.000001897,
big munmap          kbest:,0.000107048,
big munmap        average:,0.000121461,
big page fault          kbest:,0.000003764,
big page fault        average:,0.000004204,
 huge read          kbest:,0.022729965,
 huge read        average:,0.025711297,
 huge mmap          kbest:,0.000001410,
 huge mmap        average:,0.000001767,
huge page fault          kbest:,0.000003713,
huge page fault        average:,0.000004265,
    select          kbest:,0.000001005,
    select        average:,0.000001193,
      poll          kbest:,0.000000895,
      poll        average:,0.000001089,
     epoll          kbest:,0.000001271,
     epoll        average:,0.000001606,
select big          kbest:,0.000068605,
select big        average:,0.000092849,
  poll big          kbest:,0.000068970,
  poll big        average:,0.000094392,

