OS Benchmark experiment
Test Name:,6.10.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000041,
       cpu          kbest:,0.005105802,
       cpu        average:,0.005115188,
    getpid          kbest:,0.000000227,
    getpid        average:,0.000000256,
      send          kbest:,0.000000547,
      send        average:,0.000000678,
      recv          kbest:,0.000000570,
      recv        average:,0.000000756,
  big send          kbest:,0.000007322,
  big send        average:,0.000008042,
  big recv          kbest:,0.000007647,
  big recv        average:,0.000008325,
      fork          kbest:,0.000046619,
      fork       average:,0.000052339,
      fork    Child kbest:,0.000077829,
      fork Child average:,0.000085011,
thr create          kbest:,0.000005803,
thr create       average:,0.000007257,
thr create    Child kbest:,0.000008301,
thr create Child average:,0.000010057,
  big fork          kbest:,0.001643118,
  big fork       average:,0.001718065,
  big fork    Child kbest:,0.001700543,
  big fork Child average:,0.001752211,
 huge fork          kbest:,0.003580282,
 huge fork       average:,0.003670324,
 huge fork    Child kbest:,0.003639573,
 huge fork Child average:,0.003703474,
small write          kbest:,0.000000923,
small write        average:,0.000001190,
small read          kbest:,0.000000639,
small read        average:,0.000000708,
small mmap          kbest:,0.000001192,
small mmap        average:,0.000001446,
small munmap          kbest:,0.000002808,
small munmap        average:,0.000003252,
small page fault          kbest:,0.000002820,
small page fault        average:,0.000003339,
 mid write          kbest:,0.000004967,
 mid write        average:,0.000006555,
  mid read          kbest:,0.000003072,
  mid read        average:,0.000003346,
  mid mmap          kbest:,0.000001562,
  mid mmap        average:,0.000002034,
mid munmap          kbest:,0.000007171,
mid munmap        average:,0.000009552,
mid page fault          kbest:,0.000003371,
mid page fault        average:,0.000003887,
 big write          kbest:,0.000632604,
 big write        average:,0.000758163,
  big read          kbest:,0.000405102,
  big read        average:,0.000450634,
  big mmap          kbest:,0.000001564,
  big mmap        average:,0.000001955,
big munmap          kbest:,0.000103416,
big munmap        average:,0.000118500,
big page fault          kbest:,0.000003841,
big page fault        average:,0.000004341,
 huge read          kbest:,0.022641484,
 huge read        average:,0.025763940,
 huge mmap          kbest:,0.000001571,
 huge mmap        average:,0.000001947,
huge page fault          kbest:,0.000003770,
huge page fault        average:,0.000004316,
    select          kbest:,0.000000977,
    select        average:,0.000001225,
      poll          kbest:,0.000000845,
      poll        average:,0.000001054,
     epoll          kbest:,0.000001281,
     epoll        average:,0.000001565,
select big          kbest:,0.000077521,
select big        average:,0.000099790,
  poll big          kbest:,0.000077649,
  poll big        average:,0.000098330,

