OS Benchmark experiment
Test Name:,6.18.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000041,
       cpu          kbest:,0.005062191,
       cpu        average:,0.005073252,
    getpid          kbest:,0.000000161,
    getpid        average:,0.000000188,
      send          kbest:,0.000000465,
      send        average:,0.000000644,
      recv          kbest:,0.000000450,
      recv        average:,0.000000664,
  big send          kbest:,0.000007472,
  big send        average:,0.000010441,
  big recv          kbest:,0.000007318,
  big recv        average:,0.000009380,
      fork          kbest:,0.000056087,
      fork       average:,0.000077291,
      fork    Child kbest:,0.000087399,
      fork Child average:,0.000102979,
thr create          kbest:,0.000006559,
thr create       average:,0.000008535,
thr create    Child kbest:,0.000008578,
thr create Child average:,0.000015586,
  big fork          kbest:,0.001489430,
  big fork       average:,0.002008854,
  big fork    Child kbest:,0.001539460,
  big fork Child average:,0.001994328,
 huge fork          kbest:,0.003106576,
 huge fork       average:,0.004196566,
 huge fork    Child kbest:,0.003166263,
 huge fork Child average:,0.003979104,
small write          kbest:,0.000000909,
small write        average:,0.000001506,
small read          kbest:,0.000000586,
small read        average:,0.000000709,
small mmap          kbest:,0.000001129,
small mmap        average:,0.000001410,
small munmap          kbest:,0.000002480,
small munmap        average:,0.000003145,
small page fault          kbest:,0.000002843,
small page fault        average:,0.000003702,
 mid write          kbest:,0.000004893,
 mid write        average:,0.000007993,
  mid read          kbest:,0.000002961,
  mid read        average:,0.000003851,
  mid mmap          kbest:,0.000001485,
  mid mmap        average:,0.000001872,
mid munmap          kbest:,0.000006100,
mid munmap        average:,0.000010091,
mid page fault          kbest:,0.000003467,
mid page fault        average:,0.000005098,
 big write          kbest:,0.000621354,
 big write        average:,0.001010165,
  big read          kbest:,0.000439227,
  big read        average:,0.000927276,
  big mmap          kbest:,0.000001460,
  big mmap        average:,0.000001851,
big munmap          kbest:,0.000112370,
big munmap        average:,0.000138624,
big page fault          kbest:,0.000003902,
big page fault        average:,0.000004515,
 huge read          kbest:,0.023587840,
 huge read        average:,0.024483499,
 huge mmap          kbest:,0.000001283,
 huge mmap        average:,0.000001507,
huge page fault          kbest:,0.000003953,
huge page fault        average:,0.000004574,
    select          kbest:,0.000001003,
    select        average:,0.000001300,
      poll          kbest:,0.000000741,
      poll        average:,0.000001030,
     epoll          kbest:,0.000001199,
     epoll        average:,0.000001422,
select big          kbest:,0.000071206,
select big        average:,0.000091605,
  poll big          kbest:,0.000071166,
  poll big        average:,0.000098015,

