OS Benchmark experiment
Test Name:,6.14.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000040,
       cpu          kbest:,0.005060836,
       cpu        average:,0.005072066,
    getpid          kbest:,0.000000228,
    getpid        average:,0.000000254,
      send          kbest:,0.000000529,
      send        average:,0.000000649,
      recv          kbest:,0.000000515,
      recv        average:,0.000000690,
  big send          kbest:,0.000007305,
  big send        average:,0.000008248,
  big recv          kbest:,0.000007270,
  big recv        average:,0.000008388,
      fork          kbest:,0.000054763,
      fork       average:,0.000070868,
      fork    Child kbest:,0.000082973,
      fork Child average:,0.000092952,
thr create          kbest:,0.000005605,
thr create       average:,0.000006970,
thr create    Child kbest:,0.000007509,
thr create Child average:,0.000013627,
  big fork          kbest:,0.001689209,
  big fork       average:,0.001816592,
  big fork    Child kbest:,0.001720458,
  big fork Child average:,0.001815674,
 huge fork          kbest:,0.003798804,
 huge fork       average:,0.003995338,
 huge fork    Child kbest:,0.003837464,
 huge fork Child average:,0.003951609,
small write          kbest:,0.000000857,
small write        average:,0.000001179,
small read          kbest:,0.000000608,
small read        average:,0.000000680,
small mmap          kbest:,0.000001116,
small mmap        average:,0.000001404,
small munmap          kbest:,0.000002342,
small munmap        average:,0.000002905,
small page fault          kbest:,0.000002697,
small page fault        average:,0.000003402,
 mid write          kbest:,0.000004455,
 mid write        average:,0.000005777,
  mid read          kbest:,0.000003068,
  mid read        average:,0.000003245,
  mid mmap          kbest:,0.000001580,
  mid mmap        average:,0.000001860,
mid munmap          kbest:,0.000005906,
mid munmap        average:,0.000007648,
mid page fault          kbest:,0.000003384,
mid page fault        average:,0.000003868,
 big write          kbest:,0.000581179,
 big write        average:,0.000691590,
  big read          kbest:,0.000435225,
  big read        average:,0.000467017,
  big mmap          kbest:,0.000001435,
  big mmap        average:,0.000001739,
big munmap          kbest:,0.000111983,
big munmap        average:,0.000125969,
big page fault          kbest:,0.000003753,
big page fault        average:,0.000004266,
 huge read          kbest:,0.023128275,
 huge read        average:,0.026067672,
 huge mmap          kbest:,0.000001399,
 huge mmap        average:,0.000001668,
huge page fault          kbest:,0.000003824,
huge page fault        average:,0.000004339,
    select          kbest:,0.000001017,
    select        average:,0.000001301,
      poll          kbest:,0.000000806,
      poll        average:,0.000001060,
     epoll          kbest:,0.000001297,
     epoll        average:,0.000001537,
select big          kbest:,0.000067700,
select big        average:,0.000085912,
  poll big          kbest:,0.000070450,
  poll big        average:,0.000094684,

