OS Benchmark experiment
Test Name:,5.8.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000030,
       cpu          kbest:,0.005079582,
       cpu        average:,0.005102290,
    getpid          kbest:,0.000000128,
    getpid        average:,0.000000165,
      send          kbest:,0.000000441,
      send        average:,0.000000582,
      recv          kbest:,0.000000387,
      recv        average:,0.000000539,
  big send          kbest:,0.000006774,
  big send        average:,0.000007694,
  big recv          kbest:,0.000007424,
  big recv        average:,0.000008524,
      fork          kbest:,0.000035433,
      fork       average:,0.000038931,
      fork    Child kbest:,0.000064664,
      fork Child average:,0.000070430,
thr create          kbest:,0.000004142,
thr create       average:,0.000005228,
thr create    Child kbest:,0.000009760,
thr create Child average:,0.000011368,
  big fork          kbest:,0.000999303,
  big fork       average:,0.001027291,
  big fork    Child kbest:,0.001056917,
  big fork Child average:,0.001087773,
 huge fork          kbest:,0.002162454,
 huge fork       average:,0.002242990,
 huge fork    Child kbest:,0.002223800,
 huge fork Child average:,0.002308408,
small write          kbest:,0.000001042,
small write        average:,0.000001471,
small read          kbest:,0.000000516,
small read        average:,0.000000634,
small mmap          kbest:,0.000000542,
small mmap        average:,0.000000792,
small munmap          kbest:,0.000002361,
small munmap        average:,0.000002831,
small page fault          kbest:,0.000002249,
small page fault        average:,0.000002613,
 mid write          kbest:,0.000007095,
 mid write        average:,0.000009155,
  mid read          kbest:,0.000003098,
  mid read        average:,0.000003447,
  mid mmap          kbest:,0.000000621,
  mid mmap        average:,0.000000863,
mid munmap          kbest:,0.000006184,
mid munmap        average:,0.000007497,
mid page fault          kbest:,0.000002736,
mid page fault        average:,0.000003059,
 big write          kbest:,0.000880262,
 big write        average:,0.001022352,
  big read          kbest:,0.000426118,
  big read        average:,0.000479729,
  big mmap          kbest:,0.000000608,
  big mmap        average:,0.000000847,
big munmap          kbest:,0.000115618,
big munmap        average:,0.000130545,
big page fault          kbest:,0.000003153,
big page fault        average:,0.000003667,
 huge read          kbest:,0.021866672,
 huge read        average:,0.022290564,
 huge mmap          kbest:,0.000000565,
 huge mmap        average:,0.000000809,
huge page fault          kbest:,0.000003098,
huge page fault        average:,0.000003521,
    select          kbest:,0.000001022,
    select        average:,0.000001415,
      poll          kbest:,0.000001062,
      poll        average:,0.000001406,
     epoll          kbest:,0.000001243,
     epoll        average:,0.000001658,
select big          kbest:,0.000075409,
select big        average:,0.000101502,
  poll big          kbest:,0.000093661,
  poll big        average:,0.000124367,

