OS Benchmark experiment
Test Name:,6.15.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000040,
       cpu          kbest:,0.005061585,
       cpu        average:,0.005071644,
    getpid          kbest:,0.000000222,
    getpid        average:,0.000000249,
      send          kbest:,0.000000539,
      send        average:,0.000000668,
      recv          kbest:,0.000000525,
      recv        average:,0.000000698,
  big send          kbest:,0.000007235,
  big send        average:,0.000008267,
  big recv          kbest:,0.000007759,
  big recv        average:,0.000008742,
      fork          kbest:,0.000053845,
      fork       average:,0.000069391,
      fork    Child kbest:,0.000084540,
      fork Child average:,0.000096015,
thr create          kbest:,0.000005978,
thr create       average:,0.000007669,
thr create    Child kbest:,0.000008201,
thr create Child average:,0.000014923,
  big fork          kbest:,0.001477171,
  big fork       average:,0.001621536,
  big fork    Child kbest:,0.001528368,
  big fork Child average:,0.001615141,
 huge fork          kbest:,0.003219093,
 huge fork       average:,0.003436911,
 huge fork    Child kbest:,0.003264933,
 huge fork Child average:,0.003381973,
small write          kbest:,0.000000905,
small write        average:,0.000001128,
small read          kbest:,0.000000613,
small read        average:,0.000000704,
small mmap          kbest:,0.000001255,
small mmap        average:,0.000001403,
small munmap          kbest:,0.000002615,
small munmap        average:,0.000002983,
small page fault          kbest:,0.000002608,
small page fault        average:,0.000003106,
 mid write          kbest:,0.000004629,
 mid write        average:,0.000005904,
  mid read          kbest:,0.000003040,
  mid read        average:,0.000003235,
  mid mmap          kbest:,0.000001696,
  mid mmap        average:,0.000001937,
mid munmap          kbest:,0.000006632,
mid munmap        average:,0.000008235,
mid page fault          kbest:,0.000003271,
mid page fault        average:,0.000003782,
 big write          kbest:,0.000582467,
 big write        average:,0.000697543,
  big read          kbest:,0.000413108,
  big read        average:,0.000444618,
  big mmap          kbest:,0.000001624,
  big mmap        average:,0.000001832,
big munmap          kbest:,0.000113901,
big munmap        average:,0.000129135,
big page fault          kbest:,0.000003719,
big page fault        average:,0.000004141,
 huge read          kbest:,0.023153986,
 huge read        average:,0.026288472,
 huge mmap          kbest:,0.000001466,
 huge mmap        average:,0.000001727,
huge page fault          kbest:,0.000003715,
huge page fault        average:,0.000004205,
    select          kbest:,0.000001019,
    select        average:,0.000001465,
      poll          kbest:,0.000000910,
      poll        average:,0.000001237,
     epoll          kbest:,0.000001253,
     epoll        average:,0.000001571,
select big          kbest:,0.000067191,
select big        average:,0.000085249,
  poll big          kbest:,0.000072492,
  poll big        average:,0.000093626,

