OS Benchmark experiment
Test Name:,6.0.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000040,
       cpu          kbest:,0.005075239,
       cpu        average:,0.005186646,
    getpid          kbest:,0.000000161,
    getpid        average:,0.000000199,
      send          kbest:,0.000000497,
      send        average:,0.000000745,
      recv          kbest:,0.000000473,
      recv        average:,0.000000657,
  big send          kbest:,0.000007366,
  big send        average:,0.000009632,
  big recv          kbest:,0.000007729,
  big recv        average:,0.000009303,
      fork          kbest:,0.000041462,
      fork       average:,0.000049662,
      fork    Child kbest:,0.000073684,
      fork Child average:,0.000086296,
thr create          kbest:,0.000005109,
thr create       average:,0.000006593,
thr create    Child kbest:,0.000011464,
thr create Child average:,0.000014400,
  big fork          kbest:,0.001400316,
  big fork       average:,0.001914447,
  big fork    Child kbest:,0.001466417,
  big fork Child average:,0.002005674,
 huge fork          kbest:,0.002963927,
 huge fork       average:,0.003799679,
 huge fork    Child kbest:,0.003038098,
 huge fork Child average:,0.003881473,
small write          kbest:,0.000000944,
small write        average:,0.000001562,
small read          kbest:,0.000000601,
small read        average:,0.000000786,
small mmap          kbest:,0.000000691,
small mmap        average:,0.000000973,
small munmap          kbest:,0.000002818,
small munmap        average:,0.000003583,
small page fault          kbest:,0.000002725,
small page fault        average:,0.000003335,
 mid write          kbest:,0.000005426,
 mid write        average:,0.000009111,
  mid read          kbest:,0.000002958,
  mid read        average:,0.000003602,
  mid mmap          kbest:,0.000000724,
  mid mmap        average:,0.000001038,
mid munmap          kbest:,0.000007273,
mid munmap        average:,0.000010136,
mid page fault          kbest:,0.000003325,
mid page fault        average:,0.000004017,
 big write          kbest:,0.000692240,
 big write        average:,0.001079702,
  big read          kbest:,0.000424035,
  big read        average:,0.000531825,
  big mmap          kbest:,0.000000706,
  big mmap        average:,0.000000961,
big munmap          kbest:,0.000177276,
big munmap        average:,0.000221548,
big page fault          kbest:,0.000003902,
big page fault        average:,0.000004697,
 huge read          kbest:,0.029796101,
 huge read        average:,0.032299491,
 huge mmap          kbest:,0.000000683,
 huge mmap        average:,0.000000996,
huge page fault          kbest:,0.000003894,
huge page fault        average:,0.000004698,
    select          kbest:,0.000000960,
    select        average:,0.000001471,
      poll          kbest:,0.000000806,
      poll        average:,0.000001328,
     epoll          kbest:,0.000001163,
     epoll        average:,0.000001620,
select big          kbest:,0.000072557,
select big        average:,0.000134461,
  poll big          kbest:,0.000072410,
  poll big        average:,0.000128800,

