OS Benchmark experiment
Test Name:,6.17.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000042,
       cpu          kbest:,0.005074058,
       cpu        average:,0.005185744,
    getpid          kbest:,0.000000158,
    getpid        average:,0.000000190,
      send          kbest:,0.000000467,
      send        average:,0.000000713,
      recv          kbest:,0.000000450,
      recv        average:,0.000000669,
  big send          kbest:,0.000007361,
  big send        average:,0.000010251,
  big recv          kbest:,0.000007479,
  big recv        average:,0.000009378,
      fork          kbest:,0.000054641,
      fork       average:,0.000077902,
      fork    Child kbest:,0.000084031,
      fork Child average:,0.000100672,
thr create          kbest:,0.000005917,
thr create       average:,0.000008324,
thr create    Child kbest:,0.000008280,
thr create Child average:,0.000015259,
  big fork          kbest:,0.001455023,
  big fork       average:,0.001919105,
  big fork    Child kbest:,0.001501557,
  big fork Child average:,0.001893676,
 huge fork          kbest:,0.003100923,
 huge fork       average:,0.003751115,
 huge fork    Child kbest:,0.003148069,
 huge fork Child average:,0.003627378,
small write          kbest:,0.000000835,
small write        average:,0.000001372,
small read          kbest:,0.000000582,
small read        average:,0.000000686,
small mmap          kbest:,0.000001197,
small mmap        average:,0.000001436,
small munmap          kbest:,0.000002615,
small munmap        average:,0.000003300,
small page fault          kbest:,0.000003019,
small page fault        average:,0.000003694,
 mid write          kbest:,0.000004785,
 mid write        average:,0.000007810,
  mid read          kbest:,0.000002994,
  mid read        average:,0.000003234,
  mid mmap          kbest:,0.000001565,
  mid mmap        average:,0.000001887,
mid munmap          kbest:,0.000006767,
mid munmap        average:,0.000009916,
mid page fault          kbest:,0.000003502,
mid page fault        average:,0.000004417,
 big write          kbest:,0.000617966,
 big write        average:,0.000975143,
  big read          kbest:,0.000436009,
  big read        average:,0.000979965,
  big mmap          kbest:,0.000001500,
  big mmap        average:,0.000001700,
big munmap          kbest:,0.000114342,
big munmap        average:,0.000154963,
big page fault          kbest:,0.000003950,
big page fault        average:,0.000004815,
 huge read          kbest:,0.023087901,
 huge read        average:,0.027184527,
 huge mmap          kbest:,0.000001486,
 huge mmap        average:,0.000001898,
huge page fault          kbest:,0.000003965,
huge page fault        average:,0.000004710,
    select          kbest:,0.000001023,
    select        average:,0.000001376,
      poll          kbest:,0.000000777,
      poll        average:,0.000001235,
     epoll          kbest:,0.000001176,
     epoll        average:,0.000001515,
select big          kbest:,0.000082008,
select big        average:,0.000178490,
  poll big          kbest:,0.000080640,
  poll big        average:,0.000191312,

