OS Benchmark experiment
Test Name:,5.2.0,
       ref          kbest:,0.000000026,
       ref        average:,0.000000031,
       cpu          kbest:,0.005083876,
       cpu        average:,0.005143699,
    getpid          kbest:,0.000000124,
    getpid        average:,0.000000159,
      send          kbest:,0.000000425,
      send        average:,0.000000572,
      recv          kbest:,0.000000390,
      recv        average:,0.000000579,
  big send          kbest:,0.000006876,
  big send        average:,0.000007624,
  big recv          kbest:,0.000007717,
  big recv        average:,0.000008575,
      fork          kbest:,0.000036229,
      fork       average:,0.000040098,
      fork    Child kbest:,0.000059306,
      fork Child average:,0.000065566,
thr create          kbest:,0.000006674,
thr create       average:,0.000007667,
thr create    Child kbest:,0.000012640,
thr create Child average:,0.000014309,
  big fork          kbest:,0.000920536,
  big fork       average:,0.001011585,
  big fork    Child kbest:,0.000992505,
  big fork Child average:,0.001068494,
 huge fork          kbest:,0.002145458,
 huge fork       average:,0.002208246,
 huge fork    Child kbest:,0.002203529,
 huge fork Child average:,0.002269598,
small write          kbest:,0.000001003,
small write        average:,0.000001375,
small read          kbest:,0.000000529,
small read        average:,0.000000640,
small mmap          kbest:,0.000000559,
small mmap        average:,0.000000756,
small munmap          kbest:,0.000002148,
small munmap        average:,0.000002581,
small page fault          kbest:,0.000002209,
small page fault        average:,0.000002452,
 mid write          kbest:,0.000007000,
 mid write        average:,0.000008811,
  mid read          kbest:,0.000003088,
  mid read        average:,0.000003398,
  mid mmap          kbest:,0.000000562,
  mid mmap        average:,0.000000770,
mid munmap          kbest:,0.000005503,
mid munmap        average:,0.000006867,
mid page fault          kbest:,0.000002630,
mid page fault        average:,0.000002964,
 big write          kbest:,0.000927209,
 big write        average:,0.001068115,
  big read          kbest:,0.000472930,
  big read        average:,0.000523859,
  big mmap          kbest:,0.000000541,
  big mmap        average:,0.000000772,
big munmap          kbest:,0.000112362,
big munmap        average:,0.000126006,
big page fault          kbest:,0.000002959,
big page fault        average:,0.000003554,
 huge read          kbest:,0.021873512,
 huge read        average:,0.022342648,
 huge mmap          kbest:,0.000000513,
 huge mmap        average:,0.000000729,
huge page fault          kbest:,0.000002996,
huge page fault        average:,0.000003383,
    select          kbest:,0.000001021,
    select        average:,0.000001340,
      poll          kbest:,0.000001073,
      poll        average:,0.000001443,
     epoll          kbest:,0.000001286,
     epoll        average:,0.000001716,
select big          kbest:,0.000061121,
select big        average:,0.000087012,
  poll big          kbest:,0.000079295,
  poll big        average:,0.000103525,

