OS Benchmark experiment
Test Name:,5.4.0,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.005078426,
       cpu        average:,0.005114528,
    getpid          kbest:,0.000000127,
    getpid        average:,0.000000164,
      send          kbest:,0.000000418,
      send        average:,0.000000556,
      recv          kbest:,0.000000384,
      recv        average:,0.000000534,
  big send          kbest:,0.000006889,
  big send        average:,0.000007479,
  big recv          kbest:,0.000007621,
  big recv        average:,0.000008493,
      fork          kbest:,0.000038222,
      fork       average:,0.000042415,
      fork    Child kbest:,0.000061781,
      fork Child average:,0.000068752,
thr create          kbest:,0.000006524,
thr create       average:,0.000007971,
thr create    Child kbest:,0.000012422,
thr create Child average:,0.000014500,
  big fork          kbest:,0.000962676,
  big fork       average:,0.001003997,
  big fork    Child kbest:,0.001034959,
  big fork Child average:,0.001062018,
 huge fork          kbest:,0.002165033,
 huge fork       average:,0.002212672,
 huge fork    Child kbest:,0.002224433,
 huge fork Child average:,0.002273894,
small write          kbest:,0.000001029,
small write        average:,0.000001396,
small read          kbest:,0.000000541,
small read        average:,0.000000690,
small mmap          kbest:,0.000000570,
small mmap        average:,0.000000800,
small munmap          kbest:,0.000002176,
small munmap        average:,0.000002517,
small page fault          kbest:,0.000002244,
small page fault        average:,0.000002562,
 mid write          kbest:,0.000006883,
 mid write        average:,0.000008893,
  mid read          kbest:,0.000003114,
  mid read        average:,0.000003477,
  mid mmap          kbest:,0.000000627,
  mid mmap        average:,0.000000838,
mid munmap          kbest:,0.000005707,
mid munmap        average:,0.000006685,
mid page fault          kbest:,0.000002695,
mid page fault        average:,0.000003016,
 big write          kbest:,0.000878372,
 big write        average:,0.001022199,
  big read          kbest:,0.000437680,
  big read        average:,0.000481661,
  big mmap          kbest:,0.000000599,
  big mmap        average:,0.000000834,
big munmap          kbest:,0.000118061,
big munmap        average:,0.000133627,
big page fault          kbest:,0.000003035,
big page fault        average:,0.000003417,
 huge read          kbest:,0.021743055,
 huge read        average:,0.022195532,
 huge mmap          kbest:,0.000000571,
 huge mmap        average:,0.000000771,
huge page fault          kbest:,0.000003044,
huge page fault        average:,0.000003337,
    select          kbest:,0.000001033,
    select        average:,0.000001373,
      poll          kbest:,0.000001090,
      poll        average:,0.000001444,
     epoll          kbest:,0.000001276,
     epoll        average:,0.000001656,
select big          kbest:,0.000077382,
select big        average:,0.000119229,
  poll big          kbest:,0.000093999,
  poll big        average:,0.000127085,

