OS Benchmark experiment
Test Name:,6.13.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000041,
       cpu          kbest:,0.005061893,
       cpu        average:,0.005090126,
    getpid          kbest:,0.000000230,
    getpid        average:,0.000000257,
      send          kbest:,0.000000529,
      send        average:,0.000000650,
      recv          kbest:,0.000000518,
      recv        average:,0.000000698,
  big send          kbest:,0.000007020,
  big send        average:,0.000008127,
  big recv          kbest:,0.000007320,
  big recv        average:,0.000008406,
      fork          kbest:,0.000053309,
      fork       average:,0.000067271,
      fork    Child kbest:,0.000083291,
      fork Child average:,0.000092898,
thr create          kbest:,0.000005805,
thr create       average:,0.000007149,
thr create    Child kbest:,0.000007961,
thr create Child average:,0.000013605,
  big fork          kbest:,0.001680545,
  big fork       average:,0.001856025,
  big fork    Child kbest:,0.001729859,
  big fork Child average:,0.001863674,
 huge fork          kbest:,0.004007108,
 huge fork       average:,0.004415167,
 huge fork    Child kbest:,0.004060901,
 huge fork Child average:,0.004214205,
small write          kbest:,0.000000942,
small write        average:,0.000001178,
small read          kbest:,0.000000639,
small read        average:,0.000000710,
small mmap          kbest:,0.000001185,
small mmap        average:,0.000001396,
small munmap          kbest:,0.000003037,
small munmap        average:,0.000003641,
small page fault          kbest:,0.000002494,
small page fault        average:,0.000003091,
 mid write          kbest:,0.000004934,
 mid write        average:,0.000006240,
  mid read          kbest:,0.000002858,
  mid read        average:,0.000003138,
  mid mmap          kbest:,0.000001505,
  mid mmap        average:,0.000001797,
mid munmap          kbest:,0.000007206,
mid munmap        average:,0.000009788,
mid page fault          kbest:,0.000003227,
mid page fault        average:,0.000003695,
 big write          kbest:,0.000626428,
 big write        average:,0.000749123,
  big read          kbest:,0.000413653,
  big read        average:,0.000452925,
  big mmap          kbest:,0.000001495,
  big mmap        average:,0.000001744,
big munmap          kbest:,0.000103523,
big munmap        average:,0.000115796,
big page fault          kbest:,0.000003629,
big page fault        average:,0.000004149,
 huge read          kbest:,0.022906058,
 huge read        average:,0.026180774,
 huge mmap          kbest:,0.000001422,
 huge mmap        average:,0.000001689,
huge page fault          kbest:,0.000003670,
huge page fault        average:,0.000004086,
    select          kbest:,0.000000996,
    select        average:,0.000001301,
      poll          kbest:,0.000000774,
      poll        average:,0.000001045,
     epoll          kbest:,0.000001214,
     epoll        average:,0.000001504,
select big          kbest:,0.000064531,
select big        average:,0.000086269,
  poll big          kbest:,0.000073355,
  poll big        average:,0.000095015,

