OS Benchmark experiment
Test Name:,5.12.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000030,
       cpu          kbest:,0.005080735,
       cpu        average:,0.005099063,
    getpid          kbest:,0.000000129,
    getpid        average:,0.000000163,
      send          kbest:,0.000000436,
      send        average:,0.000000566,
      recv          kbest:,0.000000396,
      recv        average:,0.000000541,
  big send          kbest:,0.000006783,
  big send        average:,0.000007393,
  big recv          kbest:,0.000007509,
  big recv        average:,0.000008309,
      fork          kbest:,0.000037978,
      fork       average:,0.000043232,
      fork    Child kbest:,0.000064801,
      fork Child average:,0.000073407,
thr create          kbest:,0.000004286,
thr create       average:,0.000005371,
thr create    Child kbest:,0.000009611,
thr create Child average:,0.000011211,
  big fork          kbest:,0.001382453,
  big fork       average:,0.001420815,
  big fork    Child kbest:,0.001439158,
  big fork Child average:,0.001480532,
 huge fork          kbest:,0.002967649,
 huge fork       average:,0.003023616,
 huge fork    Child kbest:,0.003042272,
 huge fork Child average:,0.003086651,
small write          kbest:,0.000001049,
small write        average:,0.000001458,
small read          kbest:,0.000000548,
small read        average:,0.000000678,
small mmap          kbest:,0.000000571,
small mmap        average:,0.000000766,
small munmap          kbest:,0.000002331,
small munmap        average:,0.000002705,
small page fault          kbest:,0.000002289,
small page fault        average:,0.000002593,
 mid write          kbest:,0.000006983,
 mid write        average:,0.000008863,
  mid read          kbest:,0.000002883,
  mid read        average:,0.000003204,
  mid mmap          kbest:,0.000000642,
  mid mmap        average:,0.000000868,
mid munmap          kbest:,0.000006092,
mid munmap        average:,0.000007075,
mid page fault          kbest:,0.000002861,
mid page fault        average:,0.000003145,
 big write          kbest:,0.000861004,
 big write        average:,0.001012854,
  big read          kbest:,0.000423430,
  big read        average:,0.000466394,
  big mmap          kbest:,0.000000627,
  big mmap        average:,0.000000850,
big munmap          kbest:,0.000118203,
big munmap        average:,0.000130287,
big page fault          kbest:,0.000003164,
big page fault        average:,0.000003750,
 huge read          kbest:,0.020840810,
 huge read        average:,0.021111752,
 huge mmap          kbest:,0.000000554,
 huge mmap        average:,0.000000809,
huge page fault          kbest:,0.000003228,
huge page fault        average:,0.000003665,
    select          kbest:,0.000001008,
    select        average:,0.000001280,
      poll          kbest:,0.000000893,
      poll        average:,0.000001154,
     epoll          kbest:,0.000001216,
     epoll        average:,0.000001556,
select big          kbest:,0.000071152,
select big        average:,0.000096990,
  poll big          kbest:,0.000070443,
  poll big        average:,0.000105118,

