OS Benchmark experiment
Test Name:,6.9.0,
       ref          kbest:,0.000000036,
       ref        average:,0.000000040,
       cpu          kbest:,0.005051984,
       cpu        average:,0.005078084,
    getpid          kbest:,0.000000227,
    getpid        average:,0.000000254,
      send          kbest:,0.000000538,
      send        average:,0.000000668,
      recv          kbest:,0.000000526,
      recv        average:,0.000000706,
  big send          kbest:,0.000006918,
  big send        average:,0.000007981,
  big recv          kbest:,0.000007284,
  big recv        average:,0.000008479,
      fork          kbest:,0.000043801,
      fork       average:,0.000052017,
      fork    Child kbest:,0.000071860,
      fork Child average:,0.000083484,
thr create          kbest:,0.000005851,
thr create       average:,0.000007333,
thr create    Child kbest:,0.000008321,
thr create Child average:,0.000010016,
  big fork          kbest:,0.001709645,
  big fork       average:,0.001812568,
  big fork    Child kbest:,0.001767749,
  big fork Child average:,0.001842924,
 huge fork          kbest:,0.003733751,
 huge fork       average:,0.003848630,
 huge fork    Child kbest:,0.003794318,
 huge fork Child average:,0.003882194,
small write          kbest:,0.000000893,
small write        average:,0.000001218,
small read          kbest:,0.000000599,
small read        average:,0.000000702,
small mmap          kbest:,0.000001118,
small mmap        average:,0.000001372,
small munmap          kbest:,0.000002679,
small munmap        average:,0.000003108,
small page fault          kbest:,0.000002735,
small page fault        average:,0.000003222,
 mid write          kbest:,0.000004941,
 mid write        average:,0.000006446,
  mid read          kbest:,0.000002927,
  mid read        average:,0.000003123,
  mid mmap          kbest:,0.000001542,
  mid mmap        average:,0.000001856,
mid munmap          kbest:,0.000006925,
mid munmap        average:,0.000008576,
mid page fault          kbest:,0.000003421,
mid page fault        average:,0.000003943,
 big write          kbest:,0.000617443,
 big write        average:,0.000752539,
  big read          kbest:,0.000385385,
  big read        average:,0.000435449,
  big mmap          kbest:,0.000001482,
  big mmap        average:,0.000001785,
big munmap          kbest:,0.000108133,
big munmap        average:,0.000122139,
big page fault          kbest:,0.000003919,
big page fault        average:,0.000004474,
 huge read          kbest:,0.022559640,
 huge read        average:,0.025615609,
 huge mmap          kbest:,0.000001488,
 huge mmap        average:,0.000001800,
huge page fault          kbest:,0.000003909,
huge page fault        average:,0.000004517,
    select          kbest:,0.000001002,
    select        average:,0.000001348,
      poll          kbest:,0.000000881,
      poll        average:,0.000001261,
     epoll          kbest:,0.000001175,
     epoll        average:,0.000001501,
select big          kbest:,0.000073617,
select big        average:,0.000097157,
  poll big          kbest:,0.000073941,
  poll big        average:,0.000091179,

