OS Benchmark experiment
Test Name:,5.17.0,
       ref          kbest:,0.000000026,
       ref        average:,0.000000030,
       cpu          kbest:,0.005087167,
       cpu        average:,0.005144374,
    getpid          kbest:,0.000000156,
    getpid        average:,0.000000190,
      send          kbest:,0.000000481,
      send        average:,0.000000606,
      recv          kbest:,0.000000444,
      recv        average:,0.000000607,
  big send          kbest:,0.000006741,
  big send        average:,0.000007407,
  big recv          kbest:,0.000007658,
  big recv        average:,0.000008381,
      fork          kbest:,0.000040977,
      fork       average:,0.000044447,
      fork    Child kbest:,0.000071820,
      fork Child average:,0.000077016,
thr create          kbest:,0.000004649,
thr create       average:,0.000005388,
thr create    Child kbest:,0.000010915,
thr create Child average:,0.000012183,
  big fork          kbest:,0.001295071,
  big fork       average:,0.001389735,
  big fork    Child kbest:,0.001352421,
  big fork Child average:,0.001453297,
 huge fork          kbest:,0.002849771,
 huge fork       average:,0.002906663,
 huge fork    Child kbest:,0.002914099,
 huge fork Child average:,0.002974423,
small write          kbest:,0.000000874,
small write        average:,0.000001359,
small read          kbest:,0.000000565,
small read        average:,0.000000714,
small mmap          kbest:,0.000000574,
small mmap        average:,0.000000799,
small munmap          kbest:,0.000002376,
small munmap        average:,0.000002940,
small page fault          kbest:,0.000002420,
small page fault        average:,0.000002832,
 mid write          kbest:,0.000005289,
 mid write        average:,0.000007303,
  mid read          kbest:,0.000002955,
  mid read        average:,0.000003309,
  mid mmap          kbest:,0.000000655,
  mid mmap        average:,0.000000870,
mid munmap          kbest:,0.000006659,
mid munmap        average:,0.000008015,
mid page fault          kbest:,0.000002934,
mid page fault        average:,0.000003501,
 big write          kbest:,0.000691975,
 big write        average:,0.000815122,
  big read          kbest:,0.000444945,
  big read        average:,0.000490818,
  big mmap          kbest:,0.000000603,
  big mmap        average:,0.000000826,
big munmap          kbest:,0.000156201,
big munmap        average:,0.000172379,
big page fault          kbest:,0.000003551,
big page fault        average:,0.000004052,
 huge read          kbest:,0.022259657,
 huge read        average:,0.022716473,
 huge mmap          kbest:,0.000000598,
 huge mmap        average:,0.000000812,
huge page fault          kbest:,0.000003867,
huge page fault        average:,0.000004298,
    select          kbest:,0.000000917,
    select        average:,0.000001211,
      poll          kbest:,0.000000785,
      poll        average:,0.000001100,
     epoll          kbest:,0.000001111,
     epoll        average:,0.000001392,
select big          kbest:,0.000067649,
select big        average:,0.000087000,
  poll big          kbest:,0.000066798,
  poll big        average:,0.000082626,

