OS Benchmark experiment
Test Name:,6.7.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000040,
       cpu          kbest:,0.005059959,
       cpu        average:,0.005079132,
    getpid          kbest:,0.000000151,
    getpid        average:,0.000000183,
      send          kbest:,0.000000465,
      send        average:,0.000000602,
      recv          kbest:,0.000000454,
      recv        average:,0.000000635,
  big send          kbest:,0.000007359,
  big send        average:,0.000008215,
  big recv          kbest:,0.000007702,
  big recv        average:,0.000008519,
      fork          kbest:,0.000048587,
      fork       average:,0.000053837,
      fork    Child kbest:,0.000078644,
      fork Child average:,0.000085338,
thr create          kbest:,0.000005635,
thr create       average:,0.000007138,
thr create    Child kbest:,0.000007859,
thr create Child average:,0.000009754,
  big fork          kbest:,0.003463265,
  big fork       average:,0.003578995,
  big fork    Child kbest:,0.003521557,
  big fork Child average:,0.003612396,
 huge fork          kbest:,0.007391830,
 huge fork       average:,0.007540630,
 huge fork    Child kbest:,0.007451480,
 huge fork Child average:,0.007603197,
small write          kbest:,0.000000858,
small write        average:,0.000001157,
small read          kbest:,0.000000559,
small read        average:,0.000000654,
small mmap          kbest:,0.000001141,
small mmap        average:,0.000001426,
small munmap          kbest:,0.000002797,
small munmap        average:,0.000003245,
small page fault          kbest:,0.000002729,
small page fault        average:,0.000003225,
 mid write          kbest:,0.000004826,
 mid write        average:,0.000006324,
  mid read          kbest:,0.000002887,
  mid read        average:,0.000003190,
  mid mmap          kbest:,0.000001418,
  mid mmap        average:,0.000001847,
mid munmap          kbest:,0.000007290,
mid munmap        average:,0.000008617,
mid page fault          kbest:,0.000003391,
mid page fault        average:,0.000003882,
 big write          kbest:,0.000628039,
 big write        average:,0.000746379,
  big read          kbest:,0.000403815,
  big read        average:,0.000444468,
  big mmap          kbest:,0.000001428,
  big mmap        average:,0.000001791,
big munmap          kbest:,0.000101828,
big munmap        average:,0.000112524,
big page fault          kbest:,0.000003726,
big page fault        average:,0.000004253,
 huge read          kbest:,0.022577746,
 huge read        average:,0.022941651,
 huge mmap          kbest:,0.000001382,
 huge mmap        average:,0.000001714,
huge page fault          kbest:,0.000003807,
huge page fault        average:,0.000004298,
    select          kbest:,0.000001037,
    select        average:,0.000001362,
      poll          kbest:,0.000000833,
      poll        average:,0.000001097,
     epoll          kbest:,0.000001127,
     epoll        average:,0.000001387,
select big          kbest:,0.000065811,
select big        average:,0.000089081,
  poll big          kbest:,0.000063287,
  poll big        average:,0.000087690,

