OS Benchmark experiment
Test Name:,5.18.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000039,
       cpu          kbest:,0.005062060,
       cpu        average:,0.005073221,
    getpid          kbest:,0.000000165,
    getpid        average:,0.000000198,
      send          kbest:,0.000000507,
      send        average:,0.000000648,
      recv          kbest:,0.000000445,
      recv        average:,0.000000610,
  big send          kbest:,0.000007018,
  big send        average:,0.000007595,
  big recv          kbest:,0.000007852,
  big recv        average:,0.000008486,
      fork          kbest:,0.000043212,
      fork       average:,0.000047084,
      fork    Child kbest:,0.000074701,
      fork Child average:,0.000080756,
thr create          kbest:,0.000005128,
thr create       average:,0.000005898,
thr create    Child kbest:,0.000011119,
thr create Child average:,0.000012628,
  big fork          kbest:,0.001335777,
  big fork       average:,0.001367241,
  big fork    Child kbest:,0.001398099,
  big fork Child average:,0.001432920,
 huge fork          kbest:,0.002806157,
 huge fork       average:,0.002861693,
 huge fork    Child kbest:,0.002877016,
 huge fork Child average:,0.002932329,
small write          kbest:,0.000000944,
small write        average:,0.000001285,
small read          kbest:,0.000000561,
small read        average:,0.000000677,
small mmap          kbest:,0.000000609,
small mmap        average:,0.000000816,
small munmap          kbest:,0.000002774,
small munmap        average:,0.000003125,
small page fault          kbest:,0.000002506,
small page fault        average:,0.000002979,
 mid write          kbest:,0.000005148,
 mid write        average:,0.000006886,
  mid read          kbest:,0.000002874,
  mid read        average:,0.000003188,
  mid mmap          kbest:,0.000000667,
  mid mmap        average:,0.000000855,
mid munmap          kbest:,0.000007020,
mid munmap        average:,0.000008871,
mid page fault          kbest:,0.000003150,
mid page fault        average:,0.000003660,
 big write          kbest:,0.000650308,
 big write        average:,0.000778327,
  big read          kbest:,0.000421592,
  big read        average:,0.000458658,
  big mmap          kbest:,0.000000641,
  big mmap        average:,0.000000827,
big munmap          kbest:,0.000184797,
big munmap        average:,0.000197231,
big page fault          kbest:,0.000003713,
big page fault        average:,0.000004199,
 huge read          kbest:,0.022396299,
 huge read        average:,0.025362385,
 huge mmap          kbest:,0.000000603,
 huge mmap        average:,0.000000872,
huge page fault          kbest:,0.000003746,
huge page fault        average:,0.000004602,
    select          kbest:,0.000000985,
    select        average:,0.000001505,
      poll          kbest:,0.000000752,
      poll        average:,0.000001214,
     epoll          kbest:,0.000001162,
     epoll        average:,0.000001652,
select big          kbest:,0.000069108,
select big        average:,0.000141941,
  poll big          kbest:,0.000069703,
  poll big        average:,0.000144062,

