OS Benchmark experiment
Test Name:,5.13.0,
       ref          kbest:,0.000000026,
       ref        average:,0.000000030,
       cpu          kbest:,0.005080326,
       cpu        average:,0.005092801,
    getpid          kbest:,0.000000137,
    getpid        average:,0.000000173,
      send          kbest:,0.000000452,
      send        average:,0.000000576,
      recv          kbest:,0.000000389,
      recv        average:,0.000000533,
  big send          kbest:,0.000006690,
  big send        average:,0.000007551,
  big recv          kbest:,0.000007255,
  big recv        average:,0.000008299,
      fork          kbest:,0.000037882,
      fork       average:,0.000041515,
      fork    Child kbest:,0.000066331,
      fork Child average:,0.000072117,
thr create          kbest:,0.000004021,
thr create       average:,0.000005155,
thr create    Child kbest:,0.000009387,
thr create Child average:,0.000011032,
  big fork          kbest:,0.001373189,
  big fork       average:,0.001412065,
  big fork    Child kbest:,0.001433308,
  big fork Child average:,0.001474443,
 huge fork          kbest:,0.002943672,
 huge fork       average:,0.003001795,
 huge fork    Child kbest:,0.003012214,
 huge fork Child average:,0.003066347,
small write          kbest:,0.000001075,
small write        average:,0.000001488,
small read          kbest:,0.000000564,
small read        average:,0.000000688,
small mmap          kbest:,0.000000549,
small mmap        average:,0.000000759,
small munmap          kbest:,0.000002291,
small munmap        average:,0.000002661,
small page fault          kbest:,0.000002307,
small page fault        average:,0.000002659,
 mid write          kbest:,0.000007026,
 mid write        average:,0.000009007,
  mid read          kbest:,0.000002771,
  mid read        average:,0.000003149,
  mid mmap          kbest:,0.000000631,
  mid mmap        average:,0.000000859,
mid munmap          kbest:,0.000006114,
mid munmap        average:,0.000007297,
mid page fault          kbest:,0.000002837,
mid page fault        average:,0.000003162,
 big write          kbest:,0.000920401,
 big write        average:,0.001057574,
  big read          kbest:,0.000465351,
  big read        average:,0.000501464,
  big mmap          kbest:,0.000000588,
  big mmap        average:,0.000000847,
big munmap          kbest:,0.000121709,
big munmap        average:,0.000130686,
big page fault          kbest:,0.000003163,
big page fault        average:,0.000003583,
 huge read          kbest:,0.020904622,
 huge read        average:,0.021167335,
 huge mmap          kbest:,0.000000602,
 huge mmap        average:,0.000000806,
huge page fault          kbest:,0.000003628,
huge page fault        average:,0.000004099,
    select          kbest:,0.000000925,
    select        average:,0.000001256,
      poll          kbest:,0.000000786,
      poll        average:,0.000001190,
     epoll          kbest:,0.000001094,
     epoll        average:,0.000001346,
select big          kbest:,0.000074193,
select big        average:,0.000114660,
  poll big          kbest:,0.000072225,
  poll big        average:,0.000120444,

