OS Benchmark experiment
Test Name:,6.1.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000039,
       cpu          kbest:,0.005063857,
       cpu        average:,0.005071032,
    getpid          kbest:,0.000000161,
    getpid        average:,0.000000194,
      send          kbest:,0.000000508,
      send        average:,0.000000662,
      recv          kbest:,0.000000482,
      recv        average:,0.000000659,
  big send          kbest:,0.000007526,
  big send        average:,0.000008144,
  big recv          kbest:,0.000007861,
  big recv        average:,0.000008477,
      fork          kbest:,0.000050847,
      fork       average:,0.000054685,
      fork    Child kbest:,0.000081333,
      fork Child average:,0.000087374,
thr create          kbest:,0.000004964,
thr create       average:,0.000005771,
thr create    Child kbest:,0.000011256,
thr create Child average:,0.000012689,
  big fork          kbest:,0.003882826,
  big fork       average:,0.003951896,
  big fork    Child kbest:,0.003942517,
  big fork Child average:,0.004010434,
 huge fork          kbest:,0.008256577,
 huge fork       average:,0.008372574,
 huge fork    Child kbest:,0.008315453,
 huge fork Child average:,0.008433680,
small write          kbest:,0.000000918,
small write        average:,0.000001331,
small read          kbest:,0.000000604,
small read        average:,0.000000744,
small mmap          kbest:,0.000001380,
small mmap        average:,0.000001803,
small munmap          kbest:,0.000003795,
small munmap        average:,0.000004527,
small page fault          kbest:,0.000002595,
small page fault        average:,0.000003243,
 mid write          kbest:,0.000005421,
 mid write        average:,0.000006956,
  mid read          kbest:,0.000002964,
  mid read        average:,0.000003285,
  mid mmap          kbest:,0.000001568,
  mid mmap        average:,0.000002033,
mid munmap          kbest:,0.000008689,
mid munmap        average:,0.000011372,
mid page fault          kbest:,0.000003321,
mid page fault        average:,0.000003922,
 big write          kbest:,0.000703328,
 big write        average:,0.000789530,
  big read          kbest:,0.000425288,
  big read        average:,0.000481539,
  big mmap          kbest:,0.000001570,
  big mmap        average:,0.000002024,
big munmap          kbest:,0.000181750,
big munmap        average:,0.000190006,
big page fault          kbest:,0.000003989,
big page fault        average:,0.000004455,
 huge read          kbest:,0.030210993,
 huge read        average:,0.030512771,
 huge mmap          kbest:,0.000001422,
 huge mmap        average:,0.000001987,
huge page fault          kbest:,0.000003923,
huge page fault        average:,0.000004402,
    select          kbest:,0.000001018,
    select        average:,0.000001442,
      poll          kbest:,0.000000965,
      poll        average:,0.000001329,
     epoll          kbest:,0.000001196,
     epoll        average:,0.000001545,
select big          kbest:,0.000066848,
select big        average:,0.000075235,
  poll big          kbest:,0.000062098,
  poll big        average:,0.000074230,

