OS Benchmark experiment
Test Name:,5.15.0,
       ref          kbest:,0.000000026,
       ref        average:,0.000000030,
       cpu          kbest:,0.005081514,
       cpu        average:,0.005097526,
    getpid          kbest:,0.000000130,
    getpid        average:,0.000000164,
      send          kbest:,0.000000443,
      send        average:,0.000000571,
      recv          kbest:,0.000000396,
      recv        average:,0.000000559,
  big send          kbest:,0.000006592,
  big send        average:,0.000007346,
  big recv          kbest:,0.000007037,
  big recv        average:,0.000008086,
      fork          kbest:,0.000040773,
      fork       average:,0.000046266,
      fork    Child kbest:,0.000069108,
      fork Child average:,0.000077680,
thr create          kbest:,0.000004047,
thr create       average:,0.000005355,
thr create    Child kbest:,0.000009249,
thr create Child average:,0.000011396,
  big fork          kbest:,0.001328085,
  big fork       average:,0.001368851,
  big fork    Child kbest:,0.001386106,
  big fork Child average:,0.001429564,
 huge fork          kbest:,0.002775794,
 huge fork       average:,0.002836663,
 huge fork    Child kbest:,0.002837630,
 huge fork Child average:,0.002900864,
small write          kbest:,0.000000838,
small write        average:,0.000001168,
small read          kbest:,0.000000515,
small read        average:,0.000000625,
small mmap          kbest:,0.000000556,
small mmap        average:,0.000000761,
small munmap          kbest:,0.000002240,
small munmap        average:,0.000002657,
small page fault          kbest:,0.000002248,
small page fault        average:,0.000002599,
 mid write          kbest:,0.000005098,
 mid write        average:,0.000006953,
  mid read          kbest:,0.000002866,
  mid read        average:,0.000003167,
  mid mmap          kbest:,0.000000636,
  mid mmap        average:,0.000000828,
mid munmap          kbest:,0.000006168,
mid munmap        average:,0.000007186,
mid page fault          kbest:,0.000002786,
mid page fault        average:,0.000003172,
 big write          kbest:,0.000685413,
 big write        average:,0.000821324,
  big read          kbest:,0.000424411,
  big read        average:,0.000475356,
  big mmap          kbest:,0.000000615,
  big mmap        average:,0.000000809,
big munmap          kbest:,0.000118669,
big munmap        average:,0.000128500,
big page fault          kbest:,0.000003163,
big page fault        average:,0.000003538,
 huge read          kbest:,0.020710554,
 huge read        average:,0.020934739,
 huge mmap          kbest:,0.000000576,
 huge mmap        average:,0.000000749,
huge page fault          kbest:,0.000003137,
huge page fault        average:,0.000003633,
    select          kbest:,0.000000964,
    select        average:,0.000001307,
      poll          kbest:,0.000000754,
      poll        average:,0.000001020,
     epoll          kbest:,0.000001083,
     epoll        average:,0.000001354,
select big          kbest:,0.000067655,
select big        average:,0.000103663,
  poll big          kbest:,0.000068404,
  poll big        average:,0.000080573,

