OS Benchmark experiment
Test Name:,6.6.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000040,
       cpu          kbest:,0.005061437,
       cpu        average:,0.005071652,
    getpid          kbest:,0.000000153,
    getpid        average:,0.000000183,
      send          kbest:,0.000000470,
      send        average:,0.000000612,
      recv          kbest:,0.000000450,
      recv        average:,0.000000641,
  big send          kbest:,0.000007391,
  big send        average:,0.000008260,
  big recv          kbest:,0.000007697,
  big recv        average:,0.000008619,
      fork          kbest:,0.000049416,
      fork       average:,0.000054358,
      fork    Child kbest:,0.000081896,
      fork Child average:,0.000088232,
thr create          kbest:,0.000005929,
thr create       average:,0.000007425,
thr create    Child kbest:,0.000008215,
thr create Child average:,0.000009982,
  big fork          kbest:,0.003577931,
  big fork       average:,0.003748129,
  big fork    Child kbest:,0.003637699,
  big fork Child average:,0.003784581,
 huge fork          kbest:,0.007823810,
 huge fork       average:,0.008058611,
 huge fork    Child kbest:,0.007886509,
 huge fork Child average:,0.008124764,
small write          kbest:,0.000000896,
small write        average:,0.000001250,
small read          kbest:,0.000000543,
small read        average:,0.000000711,
small mmap          kbest:,0.000001149,
small mmap        average:,0.000001406,
small munmap          kbest:,0.000002634,
small munmap        average:,0.000003126,
small page fault          kbest:,0.000002767,
small page fault        average:,0.000003351,
 mid write          kbest:,0.000004760,
 mid write        average:,0.000006691,
  mid read          kbest:,0.000002887,
  mid read        average:,0.000003184,
  mid mmap          kbest:,0.000001416,
  mid mmap        average:,0.000001781,
mid munmap          kbest:,0.000006726,
mid munmap        average:,0.000008641,
mid page fault          kbest:,0.000003559,
mid page fault        average:,0.000004059,
 big write          kbest:,0.000626618,
 big write        average:,0.000746379,
  big read          kbest:,0.000414305,
  big read        average:,0.000454979,
  big mmap          kbest:,0.000001356,
  big mmap        average:,0.000001769,
big munmap          kbest:,0.000128236,
big munmap        average:,0.000136166,
big page fault          kbest:,0.000003844,
big page fault        average:,0.000004383,
 huge read          kbest:,0.023257968,
 huge read        average:,0.024393318,
 huge mmap          kbest:,0.000001322,
 huge mmap        average:,0.000001678,
huge page fault          kbest:,0.000003814,
huge page fault        average:,0.000004338,
    select          kbest:,0.000000975,
    select        average:,0.000001228,
      poll          kbest:,0.000000825,
      poll        average:,0.000001122,
     epoll          kbest:,0.000001097,
     epoll        average:,0.000001448,
select big          kbest:,0.000067464,
select big        average:,0.000089722,
  poll big          kbest:,0.000064122,
  poll big        average:,0.000082277,

