OS Benchmark experiment
Test Name:,5.11.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000030,
       cpu          kbest:,0.005082142,
       cpu        average:,0.005100336,
    getpid          kbest:,0.000000129,
    getpid        average:,0.000000166,
      send          kbest:,0.000000430,
      send        average:,0.000000573,
      recv          kbest:,0.000000399,
      recv        average:,0.000000563,
  big send          kbest:,0.000006552,
  big send        average:,0.000007545,
  big recv          kbest:,0.000007413,
  big recv        average:,0.000008528,
      fork          kbest:,0.000037995,
      fork       average:,0.000043363,
      fork    Child kbest:,0.000063686,
      fork Child average:,0.000072086,
thr create          kbest:,0.000004074,
thr create       average:,0.000005314,
thr create    Child kbest:,0.000009211,
thr create Child average:,0.000011196,
  big fork          kbest:,0.001310210,
  big fork       average:,0.001412462,
  big fork    Child kbest:,0.001362715,
  big fork Child average:,0.001469916,
 huge fork          kbest:,0.003027783,
 huge fork       average:,0.003092187,
 huge fork    Child kbest:,0.003086969,
 huge fork Child average:,0.003152866,
small write          kbest:,0.000001082,
small write        average:,0.000001512,
small read          kbest:,0.000000536,
small read        average:,0.000000681,
small mmap          kbest:,0.000000567,
small mmap        average:,0.000000807,
small munmap          kbest:,0.000002274,
small munmap        average:,0.000002864,
small page fault          kbest:,0.000002241,
small page fault        average:,0.000002584,
 mid write          kbest:,0.000007240,
 mid write        average:,0.000009544,
  mid read          kbest:,0.000002950,
  mid read        average:,0.000003292,
  mid mmap          kbest:,0.000000622,
  mid mmap        average:,0.000000840,
mid munmap          kbest:,0.000005886,
mid munmap        average:,0.000007264,
mid page fault          kbest:,0.000002708,
mid page fault        average:,0.000003061,
 big write          kbest:,0.000871305,
 big write        average:,0.001019752,
  big read          kbest:,0.000399852,
  big read        average:,0.000449371,
  big mmap          kbest:,0.000000635,
  big mmap        average:,0.000000848,
big munmap          kbest:,0.000118009,
big munmap        average:,0.000133058,
big page fault          kbest:,0.000003021,
big page fault        average:,0.000003399,
 huge read          kbest:,0.020671716,
 huge read        average:,0.020955901,
 huge mmap          kbest:,0.000000564,
 huge mmap        average:,0.000000771,
huge page fault          kbest:,0.000003345,
huge page fault        average:,0.000004135,
    select          kbest:,0.000000963,
    select        average:,0.000001347,
      poll          kbest:,0.000000875,
      poll        average:,0.000001186,
     epoll          kbest:,0.000001183,
     epoll        average:,0.000001553,
select big          kbest:,0.000074344,
select big        average:,0.000095252,
  poll big          kbest:,0.000073737,
  poll big        average:,0.000094212,

