OS Benchmark experiment
Test Name:,6.19.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000041,
       cpu          kbest:,0.005063060,
       cpu        average:,0.005092143,
    getpid          kbest:,0.000000157,
    getpid        average:,0.000000179,
      send          kbest:,0.000000476,
      send        average:,0.000000604,
      recv          kbest:,0.000000448,
      recv        average:,0.000000589,
  big send          kbest:,0.000007045,
  big send        average:,0.000008301,
  big recv          kbest:,0.000007228,
  big recv        average:,0.000008491,
      fork          kbest:,0.000055417,
      fork       average:,0.000063702,
      fork    Child kbest:,0.000086972,
      fork Child average:,0.000097891,
thr create          kbest:,0.000006205,
thr create       average:,0.000007531,
thr create    Child kbest:,0.000009199,
thr create Child average:,0.000014685,
  big fork          kbest:,0.001574916,
  big fork       average:,0.001647805,
  big fork    Child kbest:,0.001638378,
  big fork Child average:,0.001691315,
 huge fork          kbest:,0.003343638,
 huge fork       average:,0.003446779,
 huge fork    Child kbest:,0.003411920,
 huge fork Child average:,0.003490190,
small write          kbest:,0.000000860,
small write        average:,0.000001061,
small read          kbest:,0.000000563,
small read        average:,0.000000636,
small mmap          kbest:,0.000001200,
small mmap        average:,0.000001322,
small munmap          kbest:,0.000002479,
small munmap        average:,0.000002870,
small page fault          kbest:,0.000002759,
small page fault        average:,0.000003386,
 mid write          kbest:,0.000004557,
 mid write        average:,0.000006077,
  mid read          kbest:,0.000002982,
  mid read        average:,0.000003179,
  mid mmap          kbest:,0.000001598,
  mid mmap        average:,0.000001799,
mid munmap          kbest:,0.000006298,
mid munmap        average:,0.000007978,
mid page fault          kbest:,0.000003505,
mid page fault        average:,0.000004101,
 big write          kbest:,0.000589806,
 big write        average:,0.000699722,
  big read          kbest:,0.000442413,
  big read        average:,0.000472458,
  big mmap          kbest:,0.000001486,
  big mmap        average:,0.000001682,
big munmap          kbest:,0.000118019,
big munmap        average:,0.000133239,
big page fault          kbest:,0.000003880,
big page fault        average:,0.000004330,
 huge read          kbest:,0.022958242,
 huge read        average:,0.023317474,
 huge mmap          kbest:,0.000001423,
 huge mmap        average:,0.000001614,
huge page fault          kbest:,0.000003860,
huge page fault        average:,0.000004269,
    select          kbest:,0.000000958,
    select        average:,0.000001290,
      poll          kbest:,0.000000756,
      poll        average:,0.000001109,
     epoll          kbest:,0.000001151,
     epoll        average:,0.000001428,
select big          kbest:,0.000078392,
select big        average:,0.000112182,
  poll big          kbest:,0.000083742,
  poll big        average:,0.000116701,

