OS Benchmark experiment
Test Name:,5.16.0,
       ref          kbest:,0.000000026,
       ref        average:,0.000000029,
       cpu          kbest:,0.005078469,
       cpu        average:,0.005092022,
    getpid          kbest:,0.000000156,
    getpid        average:,0.000000180,
      send          kbest:,0.000000477,
      send        average:,0.000000618,
      recv          kbest:,0.000000443,
      recv        average:,0.000000601,
  big send          kbest:,0.000006773,
  big send        average:,0.000007466,
  big recv          kbest:,0.000007666,
  big recv        average:,0.000008426,
      fork          kbest:,0.000041277,
      fork       average:,0.000045201,
      fork    Child kbest:,0.000069801,
      fork Child average:,0.000075511,
thr create          kbest:,0.000004911,
thr create       average:,0.000006217,
thr create    Child kbest:,0.000011151,
thr create Child average:,0.000012995,
  big fork          kbest:,0.001344986,
  big fork       average:,0.001387215,
  big fork    Child kbest:,0.001405463,
  big fork Child average:,0.001450987,
 huge fork          kbest:,0.002872965,
 huge fork       average:,0.002947283,
 huge fork    Child kbest:,0.002936944,
 huge fork Child average:,0.003014236,
small write          kbest:,0.000000920,
small write        average:,0.000001318,
small read          kbest:,0.000000559,
small read        average:,0.000000708,
small mmap          kbest:,0.000000604,
small mmap        average:,0.000000820,
small munmap          kbest:,0.000002588,
small munmap        average:,0.000003058,
small page fault          kbest:,0.000002220,
small page fault        average:,0.000002654,
 mid write          kbest:,0.000005475,
 mid write        average:,0.000007707,
  mid read          kbest:,0.000002939,
  mid read        average:,0.000003278,
  mid mmap          kbest:,0.000000606,
  mid mmap        average:,0.000000816,
mid munmap          kbest:,0.000007063,
mid munmap        average:,0.000008260,
mid page fault          kbest:,0.000002994,
mid page fault        average:,0.000003259,
 big write          kbest:,0.000694594,
 big write        average:,0.000818084,
  big read          kbest:,0.000415460,
  big read        average:,0.000457182,
  big mmap          kbest:,0.000000587,
  big mmap        average:,0.000000784,
big munmap          kbest:,0.000166435,
big munmap        average:,0.000176930,
big page fault          kbest:,0.000003528,
big page fault        average:,0.000003856,
 huge read          kbest:,0.022457794,
 huge read        average:,0.022852481,
 huge mmap          kbest:,0.000000587,
 huge mmap        average:,0.000000780,
huge page fault          kbest:,0.000003474,
huge page fault        average:,0.000003925,
    select          kbest:,0.000001036,
    select        average:,0.000001489,
      poll          kbest:,0.000000804,
      poll        average:,0.000001079,
     epoll          kbest:,0.000001166,
     epoll        average:,0.000001525,
select big          kbest:,0.000067825,
select big        average:,0.000082989,
  poll big          kbest:,0.000066385,
  poll big        average:,0.000080173,

