OS Benchmark experiment
Test Name:,7.0.0,
       ref          kbest:,0.000000037,
       ref        average:,0.000000040,
       cpu          kbest:,0.005062940,
       cpu        average:,0.005072921,
    getpid          kbest:,0.000000158,
    getpid        average:,0.000000181,
      send          kbest:,0.000000486,
      send        average:,0.000000596,
      recv          kbest:,0.000000434,
      recv        average:,0.000000553,
  big send          kbest:,0.000007130,
  big send        average:,0.000008323,
  big recv          kbest:,0.000007036,
  big recv        average:,0.000008071,
      fork          kbest:,0.000053688,
      fork       average:,0.000067944,
      fork    Child kbest:,0.000086343,
      fork Child average:,0.000096410,
thr create          kbest:,0.000006324,
thr create       average:,0.000007759,
thr create    Child kbest:,0.000008907,
thr create Child average:,0.000010562,
  big fork          kbest:,0.001532063,
  big fork       average:,0.002350722,
  big fork    Child kbest:,0.001586210,
  big fork Child average:,0.001671059,
 huge fork          kbest:,0.003460516,
 huge fork       average:,0.004656502,
 huge fork    Child kbest:,0.003514020,
 huge fork Child average:,0.003615293,
small write          kbest:,0.000000773,
small write        average:,0.000000981,
small read          kbest:,0.000000566,
small read        average:,0.000000614,
small mmap          kbest:,0.000001196,
small mmap        average:,0.000001306,
small munmap          kbest:,0.000002573,
small munmap        average:,0.000002818,
small page fault          kbest:,0.000002781,
small page fault        average:,0.000003285,
 mid write          kbest:,0.000004427,
 mid write        average:,0.000005901,
  mid read          kbest:,0.000002802,
  mid read        average:,0.000003134,
  mid mmap          kbest:,0.000001489,
  mid mmap        average:,0.000001793,
mid munmap          kbest:,0.000006221,
mid munmap        average:,0.000008775,
mid page fault          kbest:,0.000003320,
mid page fault        average:,0.000003964,
 big write          kbest:,0.000571167,
 big write        average:,0.000666190,
  big read          kbest:,0.000417583,
  big read        average:,0.000459203,
  big mmap          kbest:,0.000001420,
  big mmap        average:,0.000001720,
big munmap          kbest:,0.000113925,
big munmap        average:,0.000128649,
big page fault          kbest:,0.000003740,
big page fault        average:,0.000004373,
 huge read          kbest:,0.022989691,
 huge read        average:,0.025203352,
 huge mmap          kbest:,0.000001503,
 huge mmap        average:,0.000001688,
huge page fault          kbest:,0.000003852,
huge page fault        average:,0.000004352,
    select          kbest:,0.000000904,
    select        average:,0.000001159,
      poll          kbest:,0.000000786,
      poll        average:,0.000001019,
     epoll          kbest:,0.000000951,
     epoll        average:,0.000001128,
select big          kbest:,0.000072893,
select big        average:,0.000086571,
  poll big          kbest:,0.000066542,
  poll big        average:,0.000082249,

