OS Benchmark experiment
Test Name:,5.6.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000031,
       cpu          kbest:,0.005081896,
       cpu        average:,0.005123177,
    getpid          kbest:,0.000000125,
    getpid        average:,0.000000161,
      send          kbest:,0.000000417,
      send        average:,0.000000560,
      recv          kbest:,0.000000381,
      recv        average:,0.000000559,
  big send          kbest:,0.000006908,
  big send        average:,0.000007621,
  big recv          kbest:,0.000007813,
  big recv        average:,0.000008487,
      fork          kbest:,0.000037059,
      fork       average:,0.000041632,
      fork    Child kbest:,0.000060911,
      fork Child average:,0.000068113,
thr create          kbest:,0.000006942,
thr create       average:,0.000007931,
thr create    Child kbest:,0.000012784,
thr create Child average:,0.000014481,
  big fork          kbest:,0.000963076,
  big fork       average:,0.001006822,
  big fork    Child kbest:,0.001034153,
  big fork Child average:,0.001062427,
 huge fork          kbest:,0.002151972,
 huge fork       average:,0.002194180,
 huge fork    Child kbest:,0.002208820,
 huge fork Child average:,0.002254273,
small write          kbest:,0.000001123,
small write        average:,0.000001467,
small read          kbest:,0.000000548,
small read        average:,0.000000694,
small mmap          kbest:,0.000000577,
small mmap        average:,0.000000810,
small munmap          kbest:,0.000002282,
small munmap        average:,0.000002668,
small page fault          kbest:,0.000002157,
small page fault        average:,0.000002476,
 mid write          kbest:,0.000007247,
 mid write        average:,0.000009255,
  mid read          kbest:,0.000003246,
  mid read        average:,0.000003594,
  mid mmap          kbest:,0.000000649,
  mid mmap        average:,0.000000875,
mid munmap          kbest:,0.000005938,
mid munmap        average:,0.000007334,
mid page fault          kbest:,0.000002645,
mid page fault        average:,0.000003094,
 big write          kbest:,0.000891662,
 big write        average:,0.001027995,
  big read          kbest:,0.000445577,
  big read        average:,0.000489500,
  big mmap          kbest:,0.000000614,
  big mmap        average:,0.000000843,
big munmap          kbest:,0.000122934,
big munmap        average:,0.000131230,
big page fault          kbest:,0.000002997,
big page fault        average:,0.000003536,
 huge read          kbest:,0.021831594,
 huge read        average:,0.022250321,
 huge mmap          kbest:,0.000000580,
 huge mmap        average:,0.000000798,
huge page fault          kbest:,0.000002989,
huge page fault        average:,0.000003321,
    select          kbest:,0.000001101,
    select        average:,0.000001561,
      poll          kbest:,0.000001134,
      poll        average:,0.000001522,
     epoll          kbest:,0.000001259,
     epoll        average:,0.000001678,
select big          kbest:,0.000072148,
select big        average:,0.000104508,
  poll big          kbest:,0.000094284,
  poll big        average:,0.000111562,

