OS Benchmark experiment
Test Name:,6.5.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000041,
       cpu          kbest:,0.005109614,
       cpu        average:,0.005119218,
    getpid          kbest:,0.000000152,
    getpid        average:,0.000000185,
      send          kbest:,0.000000473,
      send        average:,0.000000628,
      recv          kbest:,0.000000454,
      recv        average:,0.000000630,
  big send          kbest:,0.000007348,
  big send        average:,0.000008277,
  big recv          kbest:,0.000007341,
  big recv        average:,0.000008454,
      fork          kbest:,0.000048370,
      fork       average:,0.000054158,
      fork    Child kbest:,0.000077819,
      fork Child average:,0.000086075,
thr create          kbest:,0.000005379,
thr create       average:,0.000006339,
thr create    Child kbest:,0.000010881,
thr create Child average:,0.000012637,
  big fork          kbest:,0.003354259,
  big fork       average:,0.003620468,
  big fork    Child kbest:,0.003416613,
  big fork Child average:,0.003684606,
 huge fork          kbest:,0.007817897,
 huge fork       average:,0.008045976,
 huge fork    Child kbest:,0.007879963,
 huge fork Child average:,0.008111653,
small write          kbest:,0.000000809,
small write        average:,0.000001271,
small read          kbest:,0.000000529,
small read        average:,0.000000693,
small mmap          kbest:,0.000001314,
small mmap        average:,0.000001990,
small munmap          kbest:,0.000002747,
small munmap        average:,0.000003419,
small page fault          kbest:,0.000002830,
small page fault        average:,0.000003308,
 mid write          kbest:,0.000004812,
 mid write        average:,0.000006793,
  mid read          kbest:,0.000002773,
  mid read        average:,0.000003206,
  mid mmap          kbest:,0.000001583,
  mid mmap        average:,0.000002444,
mid munmap          kbest:,0.000006697,
mid munmap        average:,0.000008272,
mid page fault          kbest:,0.000003373,
mid page fault        average:,0.000003987,
 big write          kbest:,0.000622094,
 big write        average:,0.000738308,
  big read          kbest:,0.000402842,
  big read        average:,0.000450325,
  big mmap          kbest:,0.000001575,
  big mmap        average:,0.000002432,
big munmap          kbest:,0.000123200,
big munmap        average:,0.000137922,
big page fault          kbest:,0.000003798,
big page fault        average:,0.000004256,
 huge read          kbest:,0.029799705,
 huge read        average:,0.030037109,
 huge mmap          kbest:,0.000001488,
 huge mmap        average:,0.000002341,
huge page fault          kbest:,0.000004077,
huge page fault        average:,0.000004599,
    select          kbest:,0.000000985,
    select        average:,0.000001335,
      poll          kbest:,0.000000847,
      poll        average:,0.000001191,
     epoll          kbest:,0.000001055,
     epoll        average:,0.000001433,
select big          kbest:,0.000067523,
select big        average:,0.000087469,
  poll big          kbest:,0.000065580,
  poll big        average:,0.000085478,

